GPST,Latitude,Longitude,Height
2024/02/14 04:19:28.00,27.682077363,85.319258109,1274.4728
2024/02/14 04:19:29.00,27.682035126,85.319265362,1255.8659
2024/02/14 04:19:30.00,27.682052033,85.319250831,1264.7933
2024/02/14 04:19:31.00,27.682024398,85.319245599,1249.076
2024/02/14 04:19:32.00,27.681998721,85.31920834,1265.345
2024/02/14 04:19:33.00,27.682060027,85.319265357,1272.6974
2024/02/14 04:19:34.00,27.682033832,85.319215216,1269.2971
2024/02/14 04:19:35.00,27.68194297,85.31922438,1247.8912
2024/02/14 04:19:36.00,27.681981328,85.319262376,1251.8867
2024/02/14 04:19:37.00,27.681974984,85.31921954,1262.3319
2024/02/14 04:19:38.00,27.681984696,85.319188817,1255.5279
2024/02/14 04:19:39.00,27.682063559,85.319254236,1270.993
2024/02/14 04:19:40.00,27.682024867,85.319221734,1267.8374
2024/02/14 04:19:41.00,27.681985172,85.319206987,1260.1331
2024/02/14 04:19:42.00,27.682013447,85.319199447,1258.9406
2024/02/14 04:19:43.00,27.682054191,85.319240123,1263.1662
2024/02/14 04:19:44.00,27.682004859,85.319216752,1261.3982
2024/02/14 04:19:45.00,27.6820016,85.319243066,1256.5036
2024/02/14 04:19:46.00,27.681971932,85.31920589,1257.9336
2024/02/14 04:19:47.00,27.682021574,85.319240972,1261.309
2024/02/14 04:19:48.00,27.681984636,85.319252226,1248.715
2024/02/14 04:19:49.00,27.682022686,85.319213387,1268.6283
2024/02/14 04:19:50.00,27.681988003,85.319192309,1257.9022
2024/02/14 04:19:51.00,27.682057878,85.319250866,1266.9166
2024/02/14 04:19:52.00,27.682009576,85.319244712,1258.6167
2024/02/14 04:19:53.00,27.68203282,85.319256411,1257.2907
2024/02/14 04:19:54.00,27.682065007,85.319257493,1269.3759
2024/02/14 04:19:55.00,27.68206068,85.319252319,1267.7461
2024/02/14 04:19:56.00,27.681956492,85.319194104,1244.747
2024/02/14 04:19:57.00,27.681982811,85.319223509,1253.3395
2024/02/14 04:19:58.00,27.681992955,85.31921005,1252.2886
2024/02/14 04:19:59.00,27.682019818,85.319233696,1257.5953
2024/02/14 04:20:00.00,27.682021748,85.319270958,1258.641
2024/02/14 04:20:01.00,27.682020338,85.319233043,1256.6428
2024/02/14 04:20:02.00,27.682065585,85.319255988,1269.6431
2024/02/14 04:20:03.00,27.682061602,85.319252059,1268.5262
2024/02/14 04:20:04.00,27.681988585,85.319232146,1258.2032
2024/02/14 04:20:05.00,27.681993914,85.31922492,1262.5828
2024/02/14 04:20:06.00,27.68198493,85.319253494,1249.077
2024/02/14 04:20:07.00,27.682054596,85.319238628,1265.0033
2024/02/14 04:20:08.00,27.682002282,85.31922866,1262.3722
2024/02/14 04:20:09.00,27.682057962,85.319256705,1281.3599
2024/02/14 04:20:10.00,27.682010374,85.319251303,1262.7446
2024/02/14 04:20:11.00,27.682022171,85.319228723,1268.9337
2024/02/14 04:20:12.00,27.682045634,85.319254877,1265.8793
2024/02/14 04:20:13.00,27.682030257,85.319239376,1263.034
2024/02/14 04:20:14.00,27.682052877,85.319264591,1268.766
2024/02/14 04:20:15.00,27.681957276,85.319217338,1248.246
2024/02/14 04:20:16.00,27.682005307,85.319216632,1254.7688
2024/02/14 04:20:17.00,27.682021413,85.319230217,1256.4383
2024/02/14 04:20:18.00,27.681994142,85.31923473,1245.5062
2024/02/14 04:20:19.00,27.681988486,85.319251798,1248.1889
2024/02/14 04:20:20.00,27.682011588,85.319219685,1255.9031
2024/02/14 04:20:21.00,27.682026048,85.319268374,1257.8278
2024/02/14 04:20:22.00,27.682027234,85.319233994,1268.2069
2024/02/14 04:20:23.00,27.681966023,85.31920169,1247.0429
2024/02/14 04:20:24.00,27.681995896,85.319230076,1256.1731
2024/02/14 04:20:25.00,27.68206746,85.319251455,1268.1587
2024/02/14 04:20:26.00,27.682052731,85.319261014,1268.1589
2024/02/14 04:20:27.00,27.682012135,85.319250298,1260.2326
2024/02/14 04:20:28.00,27.682046272,85.319252343,1255.9025
2024/02/14 04:20:29.00,27.681987051,85.319253147,1249.8665
2024/02/14 04:20:30.00,27.681983706,85.319256335,1250.1116
2024/02/14 04:20:31.00,27.682043021,85.319250073,1255.8011
2024/02/14 04:20:32.00,27.682065705,85.31926976,1268.9705
2024/02/14 04:20:33.00,27.682023383,85.319237841,1257.3105
2024/02/14 04:20:34.00,27.682024689,85.319239671,1257.3808
2024/02/14 04:20:35.00,27.682050685,85.319256727,1255.646
2024/02/14 04:20:36.00,27.682019722,85.319236913,1257.3683
2024/02/14 04:20:37.00,27.682006987,85.319233618,1259.5156
2024/02/14 04:20:38.00,27.682035798,85.319209765,1265.9313
2024/02/14 04:20:39.00,27.681963701,85.319204767,1246.4952
2024/02/14 04:20:40.00,27.682000611,85.319221273,1245.6999
2024/02/14 04:20:41.00,27.682075559,85.319253297,1266.6953
2024/02/14 04:20:42.00,27.68200027,85.319237467,1253.8628
2024/02/14 04:20:43.00,27.681945862,85.31921458,1247.3454
2024/02/14 04:20:44.00,27.682011459,85.319249214,1262.7567
2024/02/14 04:20:45.00,27.68199689,85.319230567,1258.0554
2024/02/14 04:20:46.00,27.681951348,85.319216504,1250.4647
2024/02/14 04:20:47.00,27.682046231,85.319265784,1269.3364
2024/02/14 04:20:48.00,27.682046694,85.319208201,1271.5247
2024/02/14 04:20:49.00,27.681976724,85.319201041,1263.6226
2024/02/14 04:20:50.00,27.681968802,85.319199603,1254.1414
2024/02/14 04:20:51.00,27.682035611,85.319248762,1253.7826
2024/02/14 04:20:52.00,27.682039784,85.319256756,1254.3182
2024/02/14 04:20:53.00,27.682038257,85.319261792,1265.9802
2024/02/14 04:20:54.00,27.682063974,85.319259138,1274.5806
