System,PRN,Epoch (UTC),Clock Bias (s),Clock Drift (s/s),Clock Drift Rate (s/s²),IODE,Crs (m),Δn (rad/s),M0 (rad),Cuc (rad),Eccentricity,Cus (rad),√A (m^0.5),toe (s),Cic (rad),Ω0 (rad),Cis (rad),i0 (rad),Crc (m),ω (rad),Ω̇ (rad/s),IDOT (rad/s),Codes L2,GPS Week,L2P flag,SV accuracy (m),SV health,TGD (s),IODC,toc (s),Fit interval (h)
G,4,2024-02-14 06:00:00,0.000291249714792,9.43600753089e-12,0.0,149.0,-55.625,4.79948563213e-09,0.581497567536,-2.92249023914e-06,0.00284078833647,6.08898699284e-06,5153.57806778,280800.0,2.421438694e-08,-0.25394857112,1.11758708954e-08,0.964601904981,260.0625,-2.97619286071,-8.30248868912e-09,-3.52157525917e-10,1.0,2301.0,0.0,2.4,0.0,-4.65661287308e-09,405.0,274776.0,4.0
G,7,2024-02-14 06:00:00,-6.1527825892e-05,-9.09494701773e-12,0.0,79.0,-3.75,4.41304096373e-09,-1.98862351054,-3.68803739548e-07,0.0179457680788,1.21388584375e-05,5153.67345619,280800.0,2.01165676117e-07,0.759109426035,-2.08616256714e-07,0.950474588476,135.1875,-2.15146249751,-7.67460539241e-09,-1.01075638777e-10,1.0,2301.0,0.0,2.4,0.0,-1.11758708954e-08,79.0,274776.0,4.0
G,8,2024-02-14 06:00:00,-0.000166949350387,-1.93267624127e-12,0.0,24.0,-27.9375,4.95734935064e-09,0.842978873545,-1.37649476528e-06,0.00934146868531,3.92086803913e-06,5153.58547401,280800.0,-2.60770320892e-08,2.82100110392,1.89989805222e-07,0.954859422093,299.59375,0.319825842259,-8.60000108171e-09,-3.30013746397e-10,1.0,2301.0,0.0,2.4,0.0,5.12227416039e-09,24.0,274806.0,4.0
G,9,2024-02-14 06:00:00,9.15732234716e-05,1.26192389871e-11,0.0,67.0,-49.1875,4.94092009487e-09,1.29185416163,-2.70083546638e-06,0.00278040231206,5.77047467232e-06,5153.71810913,280800.0,-1.67638063431e-08,-0.31265997504,-6.33299350739e-08,0.958071864384,263.90625,2.01704324702,-8.36320550394e-09,-2.61082303697e-10,1.0,2301.0,0.0,2.4,0.0,1.39698386192e-09,67.0,274806.0,4.0
G,27,2024-02-14 06:00:00,-3.87243926525e-06,-3.29691829393e-12,0.0,131.0,-30.21875,4.78377069182e-09,0.954936803145,-1.56834721565e-06,0.0123776870314,4.65661287308e-06,5153.67342377,280800.0,-1.41561031342e-07,2.84656512044,1.13621354103e-07,0.963856524813,292.8125,0.758991289548,-8.5810717218e-09,-4.11445709794e-10,1.0,2301.0,0.0,3.4,0.0,1.86264514923e-09,131.0,274806.0,4.0
G,16,2024-02-14 06:00:00,-0.000363044440746,8.29913915368e-12,0.0,50.0,95.15625,4.74984070707e-09,1.83162284823,4.73484396935e-06,0.0139960012166,6.5490603447e-06,5153.73009491,280800.0,-2.34693288803e-07,1.89278237387,-1.26659870148e-07,0.96234780862,257.0,0.825893488407,-8.37892044424e-09,2.59653672761e-10,1.0,2301.0,0.0,2.4,0.0,-1.02445483208e-08,50.0,274836.0,4.0
G,30,2024-02-14 06:00:00,-0.000432811677456,4.88853402203e-12,0.0,52.0,-6.9375,4.81377194149e-09,-2.09839231197,-5.28991222382e-07,0.00679772323929,1.21053308249e-05,5153.69627953,280800.0,-5.21540641785e-08,0.761251739362,-9.685754776e-08,0.935605848996,131.03125,-2.53351634127,-8.03033449566e-09,-1.16790579082e-10,1.0,2301.0,0.0,2.4,0.0,3.72529029846e-09,52.0,275046.0,4.0
G,14,2024-02-14 06:00:00,0.000325270928442,1.00044417195e-11,0.0,231.0,84.46875,4.93020536284e-09,-2.68066069836,4.42937016487e-06,0.00398199178744,6.88806176186e-06,5153.68666458,280800.0,-5.21540641785e-08,1.83195697286,-5.21540641785e-08,0.94613612351,240.3125,-2.96556986791,-8.33106130786e-09,3.34299639208e-10,1.0,2301.0,0.0,2.4,0.0,-7.91624188423e-09,999.0,275226.0,4.0
G,2,2024-02-14 06:00:00,-0.000485722441226,5.91171556152e-12,0.0,76.0,-61.90625,4.24017662038e-09,1.17094026364,-3.49618494511e-06,0.0162049509818,1.07306987047e-05,5153.71860123,280800.0,7.264316082e-08,-2.46672662911,-4.13507223129e-07,0.967722323873,179.1875,-1.24178901025,-8.0724791083e-09,-9.71469037013e-11,1.0,2301.0,0.0,2.4,0.0,-1.76951289177e-08,76.0,276276.0,4.0
G,21,2024-02-14 06:00:00,0.000134997535497,-1.36424205266e-12,0.0,54.0,-58.1875,4.47625788268e-09,0.795299337787,-3.31923365593e-06,0.0253026307328,1.01905316114e-05,5153.72389793,280800.0,4.93600964546e-07,-2.47330398633,-3.53902578354e-07,0.962001458376,184.28125,-0.629114831261,-8.26070123422e-09,-1.03218585183e-10,1.0,2301.0,0.0,2.4,0.0,-1.02445483208e-08,54.0,276456.0,4.0
