GPST,x_y,y_y,z_y
2023/12/06 09:03:06.00,459369.1954,5634141.0579,2946817.1382
2023/12/06 09:03:07.00,459368.7566,5634134.2856,2946814.546
2023/12/06 09:03:08.00,459366.3509,5634127.935,2946812.1556
2023/12/06 09:03:09.00,459369.0237,5634140.9724,2946817.7334
2023/12/06 09:03:10.00,459367.5822,5634142.6974,2946815.7626
2023/12/06 09:03:11.00,459366.5213,5634134.2837,2946815.6388
2023/12/06 09:03:12.00,459369.8565,5634129.0369,2946816.5833
2023/12/06 09:03:13.00,459364.0918,5634127.4194,2946811.4102
2023/12/06 09:03:14.00,459369.5588,5634135.5823,2946818.4282
2023/12/06 09:03:15.00,459365.0138,5634141.479,2946814.1926
2023/12/06 09:03:16.00,459372.2909,5634130.1996,2946819.361
2023/12/06 09:03:17.00,459371.5364,5634134.8766,2946820.083
2023/12/06 09:03:18.00,459367.5688,5634125.5252,2946813.6296
2023/12/06 09:03:19.00,459367.7824,5634123.6186,2946815.5154
2023/12/06 09:03:20.00,459370.4879,5634136.4207,2946818.7058
2023/12/06 09:03:21.00,459368.384,5634137.9707,2946818.3784
2023/12/06 09:03:22.00,459368.5041,5634133.9936,2946816.6568
2023/12/06 09:03:23.00,459367.3224,5634124.7678,2946814.9734
2023/12/06 09:03:24.00,459366.5357,5634129.4218,2946815.6725
2023/12/06 09:03:25.00,459369.2537,5634142.8051,2946822.0615
2023/12/06 09:03:26.00,459368.0168,5634136.6933,2946819.3925
2023/12/06 09:03:27.00,459369.1401,5634129.5774,2946820.1362
2023/12/06 09:03:28.00,459366.6542,5634138.5759,2946818.9063
2023/12/06 09:03:29.00,459367.8323,5634130.1063,2946819.1564
2023/12/06 09:03:30.00,459366.3283,5634134.4139,2946818.3003
2023/12/06 09:03:31.00,459369.3176,5634136.588,2946818.2415
2023/12/06 09:03:32.00,459369.3769,5634136.6891,2946817.9777
2023/12/06 09:03:33.00,459369.42,5634137.3084,2946820.9754
2023/12/06 09:03:34.00,459366.9478,5634137.5574,2946816.0344
2023/12/06 09:03:35.00,459368.8763,5634126.8598,2946814.3494
2023/12/06 09:03:36.00,459368.812,5634133.3281,2946814.1306
2023/12/06 09:03:38.00,459365.7681,5634135.6129,2946809.6123
2023/12/06 09:03:39.00,459365.4887,5634134.3262,2946805.457
2023/12/06 09:03:40.00,459372.6601,5634148.556,2946808.4252
2023/12/06 09:03:41.00,459374.4863,5634148.439,2946808.1243
2023/12/06 09:03:42.00,459379.5364,5634154.8578,2946807.844
2023/12/06 09:03:43.00,459371.5407,5634137.2764,2946797.8068
2023/12/06 09:03:51.00,459374.5859,5634158.7861,2946794.4597
2023/12/06 09:03:54.00,459373.5111,5634138.1147,2946785.7722
2023/12/06 09:03:55.00,459377.1053,5634154.8469,2946792.872
2023/12/06 09:03:56.00,459379.5129,5634150.866,2946792.8095
2023/12/06 09:03:57.00,459377.6752,5634154.7675,2946793.1247
2023/12/06 09:03:58.00,459377.6176,5634155.8629,2946793.2685
2023/12/06 09:03:59.00,459377.6224,5634155.8809,2946793.2671
2023/12/06 09:04:00.00,459377.5206,5634158.4643,2946793.1641
2023/12/06 09:04:01.00,459377.6232,5634155.8737,2946793.2546
2023/12/06 09:04:02.00,459379.9022,5634143.8062,2946791.1852
2023/12/06 09:04:08.00,459373.4902,5634157.7523,2946788.9174
2023/12/06 09:04:09.00,459374.1566,5634144.2184,2946779.4456
2023/12/06 09:04:10.00,459374.4192,5634154.3299,2946788.295
2023/12/06 09:04:11.00,459374.1576,5634153.704,2946786.5472
2023/12/06 09:04:12.00,459373.8342,5634152.7726,2946787.1795
2023/12/06 09:04:13.00,459373.7628,5634158.863,2946789.0744
2023/12/06 09:04:14.00,459378.1361,5634160.3342,2946786.7865
2023/12/06 09:04:15.00,459377.5331,5634160.7982,2946788.4531
2023/12/06 09:04:19.00,459375.3601,5634158.9618,2946780.5498
2023/12/06 09:04:20.00,459374.1709,5634155.0022,2946781.3711
2023/12/06 09:04:21.00,459370.435,5634147.0455,2946775.1565
2023/12/06 09:04:22.00,459366.0422,5634153.9126,2946779.4672
2023/12/06 09:04:23.00,459360.9748,5634161.6269,2946778.1345
2023/12/06 09:04:24.00,459363.5554,5634146.6866,2946773.4938
2023/12/06 09:04:25.00,459358.6617,5634154.6205,2946772.1787
2023/12/06 09:04:26.00,459356.8048,5634160.9561,2946770.8492
2023/12/06 09:04:27.00,459356.6698,5634164.994,2946769.0142
2023/12/06 09:04:28.00,459356.0331,5634164.6033,2946763.5905
2023/12/06 09:04:29.00,459357.0725,5634166.0517,2946760.7441
2023/12/06 09:04:31.00,459366.9048,5634174.7596,2946759.7602
2023/12/06 09:04:33.00,459362.5895,5634172.4624,2946747.8039
2023/12/06 09:04:34.00,459361.4986,5634174.8515,2946743.1491
2023/12/06 09:04:35.00,459361.3559,5634172.4914,2946737.5985
2023/12/06 09:04:36.00,459364.0513,5634174.6262,2946733.0547
2023/12/06 09:04:37.00,459364.0684,5634178.0465,2946726.3778
2023/12/06 09:04:38.00,459367.099,5634181.1705,2946719.9832
2023/12/06 09:04:39.00,459368.5127,5634184.9424,2946711.9388
2023/12/06 09:04:41.00,459370.7254,5634198.786,2946694.9394
2023/12/06 09:04:43.00,459377.0426,5634201.906,2946678.399
2023/12/06 09:04:44.00,459374.7451,5634213.9075,2946671.3205
2023/12/06 09:04:46.00,459377.6832,5634219.8499,2946652.996
2023/12/06 09:04:47.00,459381.4293,5634230.8002,2946647.7553
2023/12/06 09:04:48.00,459385.0068,5634227.8025,2946637.0025
2023/12/06 09:04:49.00,459386.4274,5634225.5979,2946626.3183
2023/12/06 09:04:50.00,459386.3459,5634230.2656,2946615.3579
2023/12/06 09:04:51.00,459388.2766,5634243.9259,2946609.5807
2023/12/06 09:04:52.00,459392.1192,5634245.1078,2946598.8973
2023/12/06 09:04:53.00,459393.8917,5634249.5457,2946590.3488
2023/12/06 09:04:54.00,459393.1858,5634259.4907,2946583.7348
2023/12/06 09:04:55.00,459394.6993,5634263.4386,2946576.3713
2023/12/06 09:04:56.00,459394.9053,5634265.4819,2946570.6847
2023/12/06 09:04:57.00,459399.9258,5634264.6718,2946563.487
2023/12/06 09:04:58.00,459396.1074,5634268.8141,2946555.7686
2023/12/06 09:04:59.00,459407.9036,5634245.9075,2946546.3252
2023/12/06 09:05:00.00,459400.6025,5634277.7447,2946547.953
2023/12/06 09:05:01.00,459403.5079,5634273.4093,2946543.0789
2023/12/06 09:05:02.00,459401.5202,5634280.6964,2946542.1853
2023/12/06 09:05:03.00,459400.7791,5634268.1665,2946540.3535
2023/12/06 09:05:04.00,459400.7809,5634268.1735,2946540.3482
2023/12/06 09:05:05.00,459400.7799,5634268.1714,2946540.3499
2023/12/06 09:05:06.00,459400.7816,5634268.1678,2946540.3498
2023/12/06 09:05:07.00,459403.4828,5634275.3735,2946540.84
2023/12/06 09:05:08.00,459403.483,5634275.3672,2946540.8364
2023/12/06 09:05:09.00,459403.485,5634275.3726,2946540.8373
2023/12/06 09:05:10.00,459403.4828,5634275.3754,2946540.8382
2023/12/06 09:05:11.00,459403.4834,5634275.3676,2946540.836
2023/12/06 09:05:12.00,459403.4821,5634275.371,2946540.836
2023/12/06 09:05:13.00,459403.4806,5634275.3707,2946540.8348
2023/12/06 09:05:14.00,459403.4813,5634275.374,2946540.8382
2023/12/06 09:05:15.00,459403.4819,5634275.3824,2946540.8349
2023/12/06 09:05:16.00,459403.4787,5634275.382,2946540.8357
2023/12/06 09:05:17.00,459403.4816,5634275.3824,2946540.8365
2023/12/06 09:05:18.00,459403.4815,5634275.3849,2946540.8395
2023/12/06 09:05:19.00,459403.4835,5634275.3879,2946540.835
2023/12/06 09:05:20.00,459403.4813,5634275.3804,2946540.8341
2023/12/06 09:05:21.00,459403.4814,5634275.3962,2946540.8418
2023/12/06 09:05:22.00,459403.4809,5634275.3871,2946540.8336
