GPST,x_y,y_y,z_y
2023/12/06 02:07:05.99,459299.121,5634056.6307,2946974.2184
2023/12/06 02:07:06.99,459295.7336,5634057.5505,2946979.2372
2023/12/06 02:07:07.99,459296.2368,5634059.9219,2946980.2726
2023/12/06 02:07:08.99,459294.974,5634057.6908,2946980.0694
2023/12/06 02:07:09.99,459295.851,5634060.4028,2946982.1949
2023/12/06 02:07:10.99,459295.8112,5634057.1059,2946977.4611
2023/12/06 02:07:11.99,459295.5052,5634057.0678,2946977.907
2023/12/06 02:07:12.99,459295.637,5634052.9745,2946978.5271
2023/12/06 02:07:13.99,459294.7798,5634056.3238,2946978.8136
2023/12/06 02:07:14.99,459295.6678,5634049.7855,2946977.4997
2023/12/06 02:07:15.99,459295.1565,5634045.3387,2946973.5183
2023/12/06 02:07:16.99,459292.4548,5634055.2183,2946980.3
2023/12/06 02:07:17.99,459293.7032,5634060.5232,2946985.1008
2023/12/06 02:07:18.99,459289.4528,5634062.8438,2946983.7692
2023/12/06 02:07:19.99,459289.484,5634062.7731,2946983.7183
2023/12/06 02:07:20.99,459290.4448,5634061.5501,2946983.3472
2023/12/06 02:07:21.99,459297.1709,5634045.1379,2946977.4809
2023/12/06 02:07:22.99,459298.5423,5634040.9165,2946973.6926
2023/12/06 02:07:23.99,459297.6002,5634049.6077,2946978.9014
2023/12/06 02:07:24.99,459301.6208,5634057.4125,2946978.7219
2023/12/06 02:07:25.99,459303.1539,5634045.5744,2946979.579
2023/12/06 02:07:26.99,459306.1133,5634048.3119,2946978.2957
2023/12/06 02:07:27.99,459305.9267,5634052.4325,2946979.8023
2023/12/06 02:07:28.99,459307.5716,5634053.0034,2946979.196
2023/12/06 02:07:29.99,459308.8311,5634053.5437,2946977.9065
2023/12/06 02:07:30.99,459309.8413,5634054.3492,2946976.3545
2023/12/06 02:07:31.99,459310.426,5634058.8834,2946977.3495
2023/12/06 02:07:34.99,459309.9407,5634063.9333,2946971.2162
2023/12/06 02:07:35.99,459312.2437,5634061.9528,2946967.2083
2023/12/06 02:07:36.99,459314.6756,5634063.6411,2946966.7477
2023/12/06 02:07:39.99,459317.4909,5634060.1938,2946953.9922
2023/12/06 02:07:40.99,459316.3734,5634054.0077,2946948.799
2023/12/06 02:07:41.99,459317.1634,5634069.333,2946953.3423
2023/12/06 02:07:42.99,459318.4247,5634069.8574,2946950.8844
2023/12/06 02:07:43.99,459318.9073,5634070.2239,2946947.9103
2023/12/06 02:07:44.99,459319.7412,5634072.2323,2946945.8806
2023/12/06 02:07:45.99,459320.2837,5634073.9177,2946942.7988
2023/12/06 02:07:46.99,459323.5159,5634076.1103,2946941.418
2023/12/06 02:07:47.99,459326.139,5634075.2627,2946936.6336
2023/12/06 02:07:48.99,459323.1592,5634095.2276,2946936.4859
2023/12/06 02:07:49.99,459325.9822,5634078.7358,2946927.8851
2023/12/06 02:07:50.99,459323.463,5634075.1107,2946921.2001
2023/12/06 02:07:51.99,459324.8857,5634074.5307,2946917.4085
2023/12/06 02:07:52.99,459326.0278,5634081.8396,2946914.8933
2023/12/06 02:07:53.99,459328.8322,5634085.3701,2946914.231
2023/12/06 02:07:54.99,459327.0465,5634089.6131,2946911.1774
2023/12/06 02:07:55.99,459329.4433,5634092.4123,2946909.8564
2023/12/06 02:07:56.99,459327.5436,5634089.4588,2946901.1263
2023/12/06 02:07:57.99,459330.2406,5634095.9517,2946903.0269
2023/12/06 02:07:58.99,459330.9168,5634094.1505,2946897.2162
2023/12/06 02:07:59.99,459328.7636,5634094.3239,2946891.7392
2023/12/06 02:08:00.99,459326.9957,5634091.2232,2946889.3712
2023/12/06 02:08:01.99,459329.7444,5634092.9542,2946890.9657
2023/12/06 02:08:02.99,459330.325,5634096.0607,2946888.4775
2023/12/06 02:08:03.99,459330.5142,5634096.421,2946887.7832
2023/12/06 02:08:04.99,459330.7464,5634096.724,2946887.172
2023/12/06 02:08:05.99,459331.3194,5634097.2477,2946886.1775
2023/12/06 02:08:06.99,459332.2581,5634097.7244,2946885.2047
2023/12/06 02:08:07.99,459330.6653,5634091.3613,2946884.799
2023/12/06 02:08:08.99,459335.4756,5634098.5157,2946883.4417
2023/12/06 02:08:09.99,459339.024,5634099.418,2946884.8591
2023/12/06 02:08:10.99,459341.0382,5634099.3396,2946884.6912
2023/12/06 02:08:11.99,459341.531,5634098.2547,2946882.6335
2023/12/06 02:08:12.99,459343.2788,5634099.1141,2946882.1568
2023/12/06 02:08:13.99,459346.5832,5634100.4538,2946882.8927
2023/12/06 02:08:14.99,459347.1756,5634100.4548,2946880.525
2023/12/06 02:08:15.99,459347.8489,5634101.7843,2946878.4533
2023/12/06 02:08:16.99,459351.1284,5634104.1404,2946878.9244
2023/12/06 02:08:17.99,459350.3383,5634104.0838,2946874.293
