GPST,x_y,y_y,z_y
2023/12/06 09:08:27.00,459302.2742,5634057.6899,2946972.4621
2023/12/06 09:08:28.00,459295.7206,5634061.1979,2946977.3918
2023/12/06 09:08:30.00,459298.9268,5634054.5937,2946974.4574
2023/12/06 09:08:31.00,459296.0352,5634059.6155,2946978.7116
2023/12/06 09:08:32.00,459298.9085,5634058.9314,2946980.3549
2023/12/06 09:08:33.00,459302.2043,5634051.843,2946978.4568
2023/12/06 09:08:34.00,459298.4271,5634060.7634,2946982.125
2023/12/06 09:08:36.00,459306.8083,5634048.0476,2946975.5968
2023/12/06 09:08:37.00,459310.2868,5634047.9665,2946977.2997
2023/12/06 09:08:44.00,459315.8552,5634060.9166,2946952.2896
2023/12/06 09:08:45.00,459316.5646,5634064.6545,2946949.1144
2023/12/06 09:08:46.00,459313.0455,5634058.3308,2946943.0769
2023/12/06 09:08:47.00,459321.492,5634069.2181,2946946.678
2023/12/06 09:08:48.00,459322.308,5634070.2035,2946944.5341
2023/12/06 09:08:49.00,459324.9095,5634072.4283,2946944.97
2023/12/06 09:08:50.00,459323.2402,5634071.939,2946939.1258
2023/12/06 09:08:51.00,459326.1485,5634075.6857,2946938.6474
2023/12/06 09:08:52.00,459323.2345,5634074.37,2946928.9105
2023/12/06 09:08:53.00,459324.2081,5634076.527,2946924.6472
2023/12/06 09:08:54.00,459327.2065,5634080.5514,2946923.6267
2023/12/06 09:08:55.00,459327.8371,5634081.8496,2946919.043
2023/12/06 09:08:56.00,459328.7047,5634084.4665,2946915.8374
2023/12/06 09:08:57.00,459331.0961,5634087.4382,2946914.4045
2023/12/06 09:08:58.00,459329.9319,5634087.9933,2946908.3656
2023/12/06 09:08:59.00,459332.5798,5634092.8955,2946904.9338
2023/12/06 09:09:00.00,459330.5064,5634086.9149,2946900.3895
2023/12/06 09:09:01.00,459328.9982,5634090.3965,2946902.3638
2023/12/06 09:09:02.00,459329.3933,5634091.7599,2946899.6857
2023/12/06 09:09:03.00,459331.2261,5634094.8005,2946895.1207
2023/12/06 09:09:04.00,459329.0254,5634101.9265,2946892.1711
2023/12/06 09:09:05.00,459330.809,5634099.7736,2946890.0427
2023/12/06 09:09:06.00,459332.1271,5634100.8512,2946887.9242
2023/12/06 09:09:07.00,459331.3447,5634105.1534,2946888.0305
2023/12/06 09:09:08.00,459333.7082,5634107.0355,2946888.0677
2023/12/06 09:09:09.00,459341.413,5634099.3964,2946884.5786
2023/12/06 09:09:10.00,459343.8114,5634099.6577,2946883.9787
2023/12/06 09:09:11.00,459346.1101,5634099.5189,2946882.1458
2023/12/06 09:09:12.00,459349.8873,5634103.0403,2946882.6387
2023/12/06 09:09:13.00,459351.6086,5634104.5182,2946879.3575
2023/12/06 09:09:14.00,459348.6667,5634119.9006,2946876.5145
2023/12/06 09:09:15.00,459349.9265,5634114.0578,2946870.4711
2023/12/06 09:09:16.00,459353.0949,5634107.3266,2946866.3954
2023/12/06 09:09:17.00,459355.7268,5634103.6367,2946863.8419
2023/12/06 09:09:18.00,459356.7326,5634104.9536,2946860.8373
2023/12/06 09:09:19.00,459359.6219,5634108.2331,2946860.031
2023/12/06 09:09:20.00,459359.1522,5634115.5238,2946856.9411
2023/12/06 09:09:21.00,459360.1457,5634117.3376,2946853.4309
2023/12/06 09:09:22.00,459361.1304,5634119.4888,2946849.1788
2023/12/06 09:09:23.00,459359.6465,5634112.9655,2946838.964
2023/12/06 09:09:24.00,459365.0481,5634108.4919,2946836.9467
2023/12/06 09:09:25.00,459362.3291,5634124.5166,2946834.2495
2023/12/06 09:09:26.00,459368.8515,5634114.0551,2946827.1169
2023/12/06 09:09:27.00,459367.9466,5634116.0118,2946824.9313
2023/12/06 09:09:28.00,459363.9567,5634129.1795,2946819.3683
2023/12/06 09:09:29.00,459366.7407,5634132.8181,2946817.5085
2023/12/06 09:09:30.00,459365.9395,5634132.792,2946810.385
2023/12/06 09:09:31.00,459367.0045,5634134.9155,2946806.5211
2023/12/06 09:09:32.00,459369.9206,5634147.3036,2946808.641
2023/12/06 09:09:43.00,459375.1285,5634154.1133,2946780.688
2023/12/06 09:09:45.00,459375.2673,5634151.6372,2946784.4885
2023/12/06 09:09:46.00,459376.6122,5634150.0399,2946783.0143
2023/12/06 09:09:47.00,459377.9739,5634147.9951,2946782.3157
2023/12/06 09:09:48.00,459378.6508,5634148.219,2946781.7684
2023/12/06 09:09:49.00,459379.7824,5634148.4259,2946781.0947
2023/12/06 09:09:50.00,459382.3788,5634145.6458,2946779.5796
2023/12/06 09:09:51.00,459385.808,5634150.9817,2946777.5651
2023/12/06 09:09:52.00,459386.2191,5634158.3183,2946777.6938
2023/12/06 09:09:53.00,459389.5387,5634158.6181,2946778.5153
2023/12/06 09:09:54.00,459392.6148,5634158.2605,2946778.7605
2023/12/06 09:09:55.00,459395.2936,5634157.2349,2946778.384
2023/12/06 09:09:56.00,459398.1417,5634156.8288,2946778.733
2023/12/06 09:09:57.00,459401.505,5634154.6886,2946779.0752
2023/12/06 09:09:58.00,459404.1473,5634154.3336,2946779.3795
2023/12/06 09:09:59.00,459406.639,5634153.9842,2946779.592
2023/12/06 09:10:00.00,459408.9026,5634153.7505,2946779.7423
2023/12/06 09:10:01.00,459410.9652,5634153.513,2946779.8355
2023/12/06 09:10:02.00,459414.0179,5634149.9985,2946780.2809
2023/12/06 09:10:03.00,459414.4526,5634153.1759,2946780.0694
2023/12/06 09:10:04.00,459419.5225,5634148.9111,2946782.8342
2023/12/06 09:10:05.00,459419.1228,5634146.9505,2946780.1923
2023/12/06 09:10:06.00,459420.4908,5634146.7639,2946780.3507
2023/12/06 09:10:07.00,459419.7827,5634152.463,2946780.635
2023/12/06 09:10:08.00,459423.1276,5634146.4504,2946780.5806
2023/12/06 09:10:09.00,459425.0586,5634144.0821,2946780.4843
2023/12/06 09:10:10.00,459425.1097,5634146.249,2946780.6016
2023/12/06 09:10:11.00,459426.4512,5634143.999,2946780.4887
2023/12/06 09:10:12.00,459424.018,5634152.0503,2946780.8007
2023/12/06 09:10:13.00,459424.1518,5634152.055,2946780.8059
2023/12/06 09:10:14.00,459424.1569,5634152.0525,2946780.8064
2023/12/06 09:10:15.00,459424.1588,5634152.0566,2946780.8074
2023/12/06 09:10:16.00,459424.159,5634152.0527,2946780.8069
2023/12/06 09:10:17.00,459424.1608,5634152.0476,2946780.8051
2023/12/06 09:10:18.00,459424.1597,5634152.0513,2946780.8045
2023/12/06 09:10:19.00,459424.1595,5634152.0503,2946780.8049
2023/12/06 09:10:20.00,459424.1595,5634152.0517,2946780.8028
2023/12/06 09:10:21.00,459424.1603,5634152.0597,2946780.8083
2023/12/06 09:10:22.00,459424.1606,5634152.0557,2946780.8047
2023/12/06 09:10:23.00,459424.1615,5634152.0507,2946780.8059
2023/12/06 09:10:24.00,459424.1629,5634152.0494,2946780.8039
2023/12/06 09:10:25.00,459424.1611,5634152.0547,2946780.806
2023/12/06 09:10:26.00,459424.1609,5634152.0555,2946780.8052
2023/12/06 09:10:27.00,459424.1635,5634152.0478,2946780.8055
2023/12/06 09:10:28.00,459425.3669,5634148.6853,2946781.1385
2023/12/06 09:10:29.00,459424.1611,5634152.0579,2946780.8055
2023/12/06 09:10:30.00,459424.1586,5634152.0621,2946780.8056
2023/12/06 09:10:31.00,459424.1596,5634152.0562,2946780.8036
2023/12/06 09:10:32.00,459424.1599,5634152.062,2946780.8061
2023/12/06 09:10:33.00,459425.3671,5634148.6822,2946781.1377
2023/12/06 09:10:34.00,459425.3684,5634148.6791,2946781.1356
2023/12/06 09:10:35.00,459424.1614,5634152.0558,2946780.8058
2023/12/06 09:10:36.00,459425.3677,5634148.6815,2946781.1378
2023/12/06 09:10:37.00,459425.3682,5634148.6783,2946781.1348
2023/12/06 09:10:38.00,459425.3667,5634148.6862,2946781.1377
2023/12/06 09:10:39.00,459425.3681,5634148.6815,2946781.1371
2023/12/06 09:10:40.00,459425.3689,5634148.6777,2946781.1362
2023/12/06 09:10:41.00,459425.369,5634148.6797,2946781.1374
2023/12/06 09:10:42.00,459425.3705,5634148.6774,2946781.1377
2023/12/06 09:10:43.00,459425.3693,5634148.6796,2946781.1384
2023/12/06 09:10:44.00,459425.3683,5634148.6783,2946781.1368
2023/12/06 09:10:45.00,459425.3678,5634148.6805,2946781.1348
2023/12/06 09:10:46.00,459425.3685,5634148.6778,2946781.1358
2023/12/06 09:10:47.00,459425.3681,5634148.6829,2946781.1382
2023/12/06 09:10:48.00,459425.3687,5634148.674,2946781.1366
2023/12/06 09:10:49.00,459425.3665,5634148.6828,2946781.1352
2023/12/06 09:10:50.00,459425.3722,5634148.6833,2946781.1372
2023/12/06 09:10:51.00,459425.6443,5634148.6162,2946781.1472
2023/12/06 09:10:52.00,459428.3123,5634143.8091,2946780.6899
2023/12/06 09:10:53.00,459430.7834,5634143.4572,2946780.9659
2023/12/06 09:10:54.00,459431.7046,5634151.4109,2946781.7373
2023/12/06 09:10:55.00,459438.1685,5634144.6156,2946782.1183
