GPST,x_y,y_y,z_y
2023/12/06 01:59:02.00,459309.4422,5634052.182,2946962.3165
2023/12/06 01:59:03.00,459319.0262,5634041.4574,2946962.1772
2023/12/06 01:59:04.00,459317.0929,5634042.6531,2946961.9931
2023/12/06 01:59:05.00,459317.2985,5634042.2681,2946962.7582
2023/12/06 01:59:06.00,459319.0294,5634041.4523,2946962.1855
2023/12/06 01:59:07.00,459317.0618,5634042.676,2946961.9893
2023/12/06 01:59:08.00,459319.0349,5634041.4193,2946962.2007
2023/12/06 01:59:09.00,459319.0306,5634041.4226,2946962.1896
2023/12/06 01:59:10.00,459318.9746,5634041.4768,2946962.1898
2023/12/06 01:59:11.00,459317.3321,5634042.2184,2946962.7741
2023/12/06 01:59:12.00,459319.2674,5634040.9977,2946962.9718
2023/12/06 01:59:13.00,459317.5971,5634041.768,2946963.5463
2023/12/06 01:59:14.00,459319.0402,5634041.1715,2946963.0699
2023/12/06 01:59:15.00,459317.4444,5634042.1207,2946962.7293
2023/12/06 01:59:16.00,459319.1736,5634041.273,2946962.1626
2023/12/06 01:59:17.00,459317.1039,5634042.6092,2946961.9813
2023/12/06 01:59:18.00,459317.1234,5634042.6104,2946961.9867
2023/12/06 01:59:19.00,459317.154,5634042.564,2946961.9866
2023/12/06 01:59:20.00,459311.207,5634047.6798,2946964.6669
2023/12/06 01:59:21.00,459317.1502,5634042.5671,2946961.9844
2023/12/06 01:59:22.00,459317.1403,5634042.5781,2946961.9836
2023/12/06 01:59:23.00,459314.348,5634046.5105,2946962.7216
2023/12/06 01:59:24.00,459318.6663,5634039.3105,2946960.8337
2023/12/06 01:59:25.00,459302.8574,5634057.9081,2946964.4557
2023/12/06 01:59:26.00,459313.8578,5634046.6964,2946963.7509
2023/12/06 01:59:27.00,459315.4586,5634046.1708,2946962.3579
2023/12/06 01:59:28.00,459318.6539,5634039.3289,2946960.8235
2023/12/06 01:59:29.00,459315.9319,5634045.7968,2946962.1853
2023/12/06 01:59:30.00,459315.7077,5634045.9835,2946962.2424
2023/12/06 01:59:31.00,459315.4028,5634046.2083,2946962.3736
2023/12/06 01:59:32.00,459304.265,5634057.5408,2946963.108
2023/12/06 01:59:33.00,459317.1655,5634042.5688,2946961.9892
2023/12/06 01:59:34.00,459320.171,5634038.8742,2946959.4483
2023/12/06 01:59:35.00,459318.6646,5634039.3054,2946960.8425
2023/12/06 01:59:36.00,459320.1075,5634038.9346,2946959.4569
2023/12/06 01:59:37.00,459304.299,5634057.528,2946963.0868
2023/12/06 01:59:38.00,459305.6939,5634057.1922,2946961.7427
2023/12/06 01:59:39.00,459320.1634,5634038.8888,2946959.4374
2023/12/06 01:59:40.00,459306.0253,5634056.907,2946961.6472
2023/12/06 01:59:41.00,459309.9875,5634050.2146,2946959.0102
2023/12/06 01:59:42.00,459310.4198,5634049.8698,2946958.8616
2023/12/06 01:59:43.00,459303.2564,5634057.5737,2946964.3349
2023/12/06 01:59:44.00,459312.3216,5634051.0405,2946960.5953
2023/12/06 01:59:45.00,459307.2045,5634056.7489,2946960.3797
2023/12/06 01:59:46.00,459306.0212,5634056.9306,2946961.6125
2023/12/06 01:59:47.00,459307.2302,5634056.7228,2946960.3539
2023/12/06 01:59:48.00,459307.1896,5634056.7536,2946960.3614
2023/12/06 01:59:49.00,459307.2742,5634056.6797,2946960.347
2023/12/06 01:59:50.00,459307.2587,5634056.6906,2946960.3511
2023/12/06 01:59:51.00,459318.4019,5634045.3583,2946959.6061
2023/12/06 01:59:52.00,459309.2975,5634051.9138,2946963.3647
2023/12/06 01:59:53.00,459312.3219,5634051.0463,2946960.5762
2023/12/06 01:59:54.00,459307.1935,5634056.7539,2946960.3605
2023/12/06 01:59:55.00,459307.254,5634056.6891,2946960.3503
2023/12/06 01:59:56.00,459307.0586,5634056.8721,2946960.3871
2023/12/06 01:59:57.00,459318.3522,5634045.3807,2946959.6337
2023/12/06 01:59:58.00,459307.3152,5634056.6303,2946960.342
2023/12/06 01:59:59.00,459307.3516,5634056.5926,2946960.3303
2023/12/06 02:00:00.00,459307.2794,5634056.6677,2946960.3362
2023/12/06 02:00:01.00,459307.1801,5634056.763,2946960.3373
2023/12/06 02:00:03.00,459312.2651,5634051.0832,2946960.59
2023/12/06 02:00:10.00,459312.3515,5634050.995,2946960.5848
2023/12/06 02:00:11.00,459310.5904,5634051.6351,2946962.0695
2023/12/06 02:00:12.00,459310.8419,5634051.4319,2946961.9773
2023/12/06 02:00:13.00,459305.9178,5634056.986,2946961.6596
2023/12/06 02:00:14.00,459316.9304,5634045.7369,2946960.98
2023/12/06 02:00:15.00,459310.7499,5634051.5085,2946962.0104
2023/12/06 02:00:16.00,459304.4103,5634057.4228,2946963.0572
2023/12/06 02:00:17.00,459304.2305,5634057.5933,2946963.0822
2023/12/06 02:00:19.00,459305.9559,5634056.9354,2946961.6813
2023/12/06 02:00:20.00,459293.787,5634064.4904,2946968.159
2023/12/06 02:00:21.00,459305.8908,5634056.9877,2946961.6913
2023/12/06 02:00:58.00,459317.2425,5634045.4118,2946960.958
2023/12/06 02:00:59.00,459317.2803,5634045.366,2946960.9521
2023/12/06 02:01:00.00,459314.5347,5634050.6646,2946958.1546
2023/12/06 02:01:01.00,459314.4683,5634050.7216,2946958.1669
