GPST,x_x,y_x,z_x,ns,sdx(m),sdy(m),sdz(m)
2023/12/06 02:07:04.99,459295.2398,5634066.1812,2946987.0867,4.0,12.912,34.79,43.2285
2023/12/06 02:07:05.99,459299.3158,5634062.1479,2946979.5813,4.0,12.9191,34.794,43.2337
2023/12/06 02:07:06.99,459295.2197,5634066.1687,2946988.4115,4.0,12.9263,34.7979,43.2388
2023/12/06 02:07:07.99,459296.2218,5634069.2635,2946989.8622,4.0,12.9334,34.8018,43.2439
2023/12/06 02:07:08.99,459295.1049,5634068.0474,2946990.4908,4.0,12.9406,34.8057,43.2491
2023/12/06 02:07:09.99,459297.4528,5634064.1439,2946984.2343,5.0,6.7877,32.3962,34.771
2023/12/06 02:07:10.99,459297.2951,5634063.1182,2946983.6354,5.0,6.7913,32.3986,34.7729
2023/12/06 02:07:11.99,459296.4083,5634065.1588,2946986.0891,5.0,6.7948,32.4009,34.7748
2023/12/06 02:07:12.99,459293.6708,5634070.4852,2946990.54,5.0,6.7983,32.4032,34.7766
2023/12/06 02:07:13.99,459292.8156,5634071.1812,2946992.0857,5.0,6.8019,32.4055,34.7785
2023/12/06 02:07:14.99,459287.6409,5634083.5573,2947001.9543,5.0,6.8054,32.4078,34.7804
2023/12/06 02:07:15.99,459293.1583,5634060.1927,2946980.9701,6.0,4.0601,9.9853,9.3809
2023/12/06 02:07:16.99,459293.4958,5634060.6113,2946983.1201,6.0,4.0597,9.9836,9.3785
2023/12/06 02:07:17.99,459293.348,5634060.6383,2946982.733,6.0,4.0592,9.9818,9.3761
2023/12/06 02:07:18.99,459293.0036,5634060.2501,2946982.0705,6.0,4.0588,9.9801,9.3738
2023/12/06 02:07:19.99,459292.8269,5634060.148,2946982.357,6.0,4.0584,9.9784,9.3714
2023/12/06 02:07:20.99,459292.6825,5634059.4807,2946979.7763,6.0,4.0579,9.9766,9.369
2023/12/06 02:07:21.99,459293.6905,5634061.2907,2946979.8127,7.0,3.988,9.2254,8.0814
2023/12/06 02:07:22.99,459295.8674,5634061.5424,2946981.6028,7.0,3.9876,9.2243,8.0796
2023/12/06 02:07:23.99,459297.2241,5634061.1917,2946980.6755,7.0,3.9873,9.2232,8.0778
2023/12/06 02:07:24.99,459299.6794,5634061.3879,2946983.8402,7.0,3.9869,9.2222,8.0759
2023/12/06 02:07:25.99,459301.2686,5634060.4063,2946984.2099,7.0,3.9866,9.2211,8.0741
2023/12/06 02:07:26.99,459305.8353,5634067.9253,2946988.8604,7.0,3.9862,9.2201,8.0722
2023/12/06 02:07:27.99,459307.9931,5634069.7029,2946990.285,8.0,3.6572,8.889,6.572
2023/12/06 02:07:28.99,459307.8547,5634066.1952,2946987.96,9.0,3.3118,8.7728,6.2714
2023/12/06 02:07:29.99,459308.133,5634062.6429,2946982.9692,10.0,2.4014,6.3866,4.4895
2023/12/06 02:07:30.99,459311.7846,5634076.3804,2946992.811,10.0,3.2698,8.534,6.2258
2023/12/06 02:07:31.99,459312.8553,5634083.9172,2946994.1295,10.0,3.2479,8.6172,6.2784
2023/12/06 02:07:32.99,459315.5754,5634083.5688,2946992.8683,11.0,3.2381,8.4327,6.1819
2023/12/06 02:07:33.99,459318.6137,5634084.5892,2946992.1253,11.0,3.238,8.4323,6.1816
2023/12/06 02:07:34.99,459318.7898,5634087.1735,2946988.5321,11.0,3.238,8.4319,6.1814
2023/12/06 02:07:35.99,459319.6741,5634087.2568,2946985.1929,10.0,3.2477,8.6155,6.2773
2023/12/06 02:07:36.99,459322.4891,5634079.5002,2946978.3444,11.0,3.2379,8.431,6.181
2023/12/06 02:07:37.99,459325.0469,5634085.8776,2946978.2035,11.0,3.2378,8.4306,6.1808
2023/12/06 02:07:38.99,459323.3639,5634086.9376,2946975.1646,10.0,3.4706,8.4873,6.2904
2023/12/06 02:07:39.99,459321.1913,5634093.3019,2946973.029,9.0,3.6108,8.4871,6.4054
2023/12/06 02:07:40.99,459318.9443,5634091.0272,2946966.3725,11.0,3.1888,8.1514,5.72
2023/12/06 02:07:41.99,459319.0912,5634093.3455,2946966.8798,11.0,3.1887,8.1511,5.7198
2023/12/06 02:07:42.99,459318.8349,5634093.4135,2946963.8626,11.0,3.1886,8.1508,5.7195
2023/12/06 02:07:43.99,459320.39,5634096.1745,2946963.0482,11.0,3.1885,8.1504,5.7193
2023/12/06 02:07:44.99,459322.4351,5634091.0341,2946959.8428,11.0,3.1885,8.1501,5.7191
2023/12/06 02:07:45.99,459323.0282,5634097.5884,2946960.1453,10.0,3.3152,8.16,5.7396
2023/12/06 02:07:46.99,459325.3849,5634102.0124,2946958.9149,10.0,3.3151,8.1597,5.7394
2023/12/06 02:07:47.99,459327.3184,5634097.1866,2946948.1647,10.0,3.315,8.1593,5.7392
2023/12/06 02:07:48.99,459328.9577,5634100.1164,2946944.1236,11.0,3.1882,8.1487,5.7181
2023/12/06 02:07:49.99,459326.5737,5634098.2246,2946941.6213,11.0,3.1881,8.1483,5.7179
2023/12/06 02:07:50.99,459326.1553,5634101.9662,2946939.7895,11.0,3.188,8.148,5.7177
2023/12/06 02:07:51.99,459330.3276,5634100.1306,2946936.4876,11.0,3.1879,8.1476,5.7174
2023/12/06 02:07:52.99,459333.9131,5634101.3901,2946932.3207,10.0,3.3907,8.4247,6.2919
2023/12/06 02:07:53.99,459336.869,5634104.7512,2946931.8504,9.0,3.6096,8.4811,6.4031
2023/12/06 02:07:54.99,459333.4527,5634116.0158,2946933.171,8.0,3.6416,8.6333,6.4629
2023/12/06 02:07:55.99,459329.7328,5634106.2563,2946918.4169,10.0,3.5461,7.8165,5.8022
2023/12/06 02:07:56.99,459331.3404,5634112.4025,2946915.6779,10.0,3.546,7.8162,5.802
2023/12/06 02:07:57.99,459331.1782,5634120.4167,2946915.4258,10.0,3.5459,7.8159,5.8019
