GPST,x_x,y_x,z_x,ns,sdx(m),sdy(m),sdz(m)
2023/12/06 09:07:45.00,459260.2829,5634123.7123,2946999.2308,6.0,21.3367,32.8417,7.3608
2023/12/06 09:07:46.00,459279.7385,5634093.9397,2947001.0362,6.0,21.328,32.8263,7.3628
2023/12/06 09:07:47.00,459278.286,5634104.1893,2946994.2143,6.0,21.3193,32.8108,7.3647
2023/12/06 09:07:48.00,459283.2627,5634103.3725,2946989.3153,6.0,21.3106,32.7953,7.3666
2023/12/06 09:07:49.00,459271.5629,5634118.7355,2946992.5412,6.0,21.3019,32.7799,7.3685
2023/12/06 09:07:50.00,459289.4475,5634090.0309,2946994.4417,6.0,21.2932,32.7645,7.3704
2023/12/06 09:07:51.00,459276.3599,5634112.9808,2946994.2614,6.0,21.2845,32.749,7.3723
2023/12/06 09:07:52.00,459281.1497,5634103.8621,2946995.1706,6.0,21.2759,32.7337,7.3743
2023/12/06 09:07:53.00,459275.3717,5634117.789,2946991.9934,6.0,21.2672,32.7183,7.3762
2023/12/06 09:07:54.00,459275.3171,5634119.1989,2946990.9555,6.0,21.2586,32.7029,7.3781
2023/12/06 09:07:55.00,459301.3111,5634082.5591,2946987.6369,7.0,3.9193,8.9023,6.8416
2023/12/06 09:07:56.00,459301.4716,5634083.967,2946986.8645,7.0,3.9195,8.9033,6.8434
2023/12/06 09:07:57.00,459301.2838,5634086.7818,2946987.4152,7.0,3.9197,8.9044,6.8452
2023/12/06 09:07:58.00,459301.1053,5634089.019,2946986.6404,7.0,3.9199,8.9054,6.847
2023/12/06 09:07:59.00,459300.7569,5634089.0917,2946988.1677,8.0,3.1098,7.3805,4.7462
2023/12/06 09:08:00.00,459300.4285,5634089.5248,2946989.4439,8.0,3.1097,7.3804,4.7468
2023/12/06 09:08:01.00,459300.4561,5634087.3963,2946990.7837,8.0,3.1095,7.3804,4.7473
2023/12/06 09:08:02.00,459301.8105,5634091.9687,2946987.2941,8.0,3.1093,7.3803,4.7479
2023/12/06 09:08:03.00,459307.8074,5634085.1761,2946984.4519,7.0,15.0108,17.0111,7.346
2023/12/06 09:08:04.00,459306.6111,5634085.4552,2946985.2858,7.0,15.0128,17.0124,7.3475
2023/12/06 09:08:05.00,459308.575,5634085.3629,2946984.2981,7.0,15.0147,17.0138,7.3491
2023/12/06 09:08:06.00,459317.0934,5634079.7449,2946983.0398,7.0,15.0167,17.0151,7.3507
2023/12/06 09:08:07.00,459317.4999,5634080.2328,2946982.5642,7.0,15.0186,17.0165,7.3523
2023/12/06 09:08:08.00,459319.2917,5634080.0977,2946981.0595,7.0,15.0206,17.0179,7.3538
