GPST,x_x,y_x,z_x,ns,sdx(m),sdy(m),sdz(m)
2023/12/06 01:58:51.00,459293.916,5634067.0652,2946977.3208,6.0,6.1039,8.1175,8.8427
2023/12/06 01:58:52.00,459293.6062,5634065.4007,2946975.2194,6.0,6.1049,8.1182,8.843
2023/12/06 01:58:53.00,459293.7905,5634066.6089,2946976.5582,6.0,6.106,8.119,8.8432
2023/12/06 01:58:54.00,459292.1935,5634070.5432,2946978.6544,6.0,6.107,8.1197,8.8435
2023/12/06 01:58:55.00,459293.9309,5634067.5519,2946978.6748,7.0,6.0339,7.2386,8.388
2023/12/06 01:58:56.00,459294.1525,5634067.6011,2946978.427,7.0,6.0348,7.2393,8.388
2023/12/06 01:58:57.00,459292.9176,5634071.3789,2946980.2303,7.0,6.0357,7.24,8.388
2023/12/06 01:58:58.00,459291.4266,5634073.1429,2946981.3056,7.0,6.0367,7.2407,8.388
2023/12/06 01:58:59.00,459291.9976,5634072.6993,2946980.8929,7.0,6.0376,7.2413,8.3881
2023/12/06 01:59:00.00,459291.9263,5634073.0449,2946980.9529,7.0,6.0385,7.242,8.3881
2023/12/06 01:59:01.00,459292.3531,5634072.0936,2946980.5777,7.0,6.0395,7.2427,8.3881
2023/12/06 01:59:02.00,459294.1994,5634070.474,2946976.4143,8.0,5.952,7.1054,7.9688
2023/12/06 01:59:03.00,459294.5524,5634069.3816,2946976.7087,8.0,5.9529,7.1062,7.9688
2023/12/06 01:59:04.00,459296.0134,5634068.2638,2946975.4512,8.0,5.9538,7.107,7.9687
2023/12/06 01:59:05.00,459297.1046,5634067.0835,2946975.2971,8.0,5.9547,7.1078,7.9687
2023/12/06 01:59:06.00,459297.6971,5634066.7596,2946974.8349,8.0,5.9556,7.1086,7.9687
2023/12/06 01:59:07.00,459300.1542,5634063.7923,2946972.4918,8.0,5.9565,7.1094,7.9686
2023/12/06 01:59:08.00,459302.6351,5634061.7175,2946971.1816,8.0,5.9574,7.1102,7.9686
2023/12/06 01:59:09.00,459303.5184,5634061.1085,2946970.7306,8.0,5.9583,7.111,7.9686
2023/12/06 01:59:10.00,459305.2659,5634057.9184,2946968.3706,8.0,5.9592,7.1118,7.9685
2023/12/06 01:59:11.00,459305.8327,5634056.0153,2946967.1554,8.0,5.9601,7.1126,7.9685
2023/12/06 01:59:12.00,459309.0321,5634051.6999,2946963.937,8.0,5.961,7.1134,7.9685
2023/12/06 01:59:13.00,459308.788,5634050.0807,2946963.3351,8.0,5.9619,7.1142,7.9685
2023/12/06 01:59:14.00,459308.4186,5634050.7431,2946963.3395,8.0,5.9628,7.115,7.9684
2023/12/06 01:59:15.00,459308.1483,5634052.1706,2946964.1143,8.0,5.9637,7.1158,7.9684
2023/12/06 01:59:16.00,459310.4643,5634050.7185,2946963.5511,8.0,5.9646,7.1166,7.9684
2023/12/06 01:59:17.00,459310.1416,5634051.1241,2946963.7241,8.0,5.9655,7.1174,7.9684
2023/12/06 01:59:18.00,459308.5761,5634052.5442,2946964.629,8.0,5.9664,7.1182,7.9683
2023/12/06 01:59:19.00,459309.2039,5634051.6437,2946963.4726,8.0,5.9673,7.119,7.9683
2023/12/06 01:59:20.00,459308.9645,5634052.3418,2946963.6071,8.0,5.9683,7.1199,7.9683
2023/12/06 01:59:21.00,459309.8389,5634051.1011,2946962.3677,8.0,5.9692,7.1207,7.9683
2023/12/06 01:59:22.00,459309.6969,5634051.6431,2946962.8901,8.0,5.9701,7.1215,7.9683
2023/12/06 01:59:23.00,459310.3687,5634050.127,2946961.7492,8.0,5.971,7.1223,7.9682
2023/12/06 01:59:24.00,459309.5284,5634051.4503,2946962.4928,8.0,5.9719,7.1231,7.9682
2023/12/06 01:59:25.00,459308.8221,5634053.7486,2946963.8598,8.0,5.9728,7.1239,7.9682
2023/12/06 01:59:26.00,459308.0561,5634054.4145,2946964.36,8.0,5.9737,7.1247,7.9682
2023/12/06 01:59:27.00,459307.899,5634054.5165,2946964.4537,8.0,5.9746,7.1255,7.9682
2023/12/06 01:59:28.00,459307.332,5634055.0222,2946964.6798,8.0,5.9756,7.1264,7.9682
2023/12/06 01:59:29.00,459307.9303,5634052.9964,2946963.4378,8.0,5.9765,7.1272,7.9681
2023/12/06 01:59:30.00,459308.9502,5634052.1228,2946961.8188,9.0,5.3441,7.0398,7.493
2023/12/06 01:59:31.00,459308.7972,5634053.2596,2946961.6708,9.0,5.3451,7.0408,7.4932
2023/12/06 01:59:32.00,459309.8211,5634051.3939,2946960.1399,10.0,5.185,6.5444,7.2294
2023/12/06 01:59:33.00,459308.035,5634052.1092,2946961.3091,10.0,5.186,6.5452,7.2296
2023/12/06 01:59:34.00,459307.944,5634052.8009,2946961.2707,10.0,5.1869,6.546,7.2299
2023/12/06 01:59:35.00,459308.8944,5634053.3607,2946960.6534,10.0,5.1879,6.5468,7.2302
2023/12/06 01:59:36.00,459308.0039,5634054.6097,2946960.7593,10.0,5.1888,6.5476,7.2304
2023/12/06 01:59:37.00,459305.9924,5634056.0203,2946962.9328,10.0,5.1898,6.5484,7.2307
2023/12/06 01:59:38.00,459305.7371,5634056.6892,2946962.7558,10.0,5.1908,6.5492,7.231
2023/12/06 01:59:39.00,459305.7493,5634056.9763,2946963.2571,10.0,5.1917,6.55,7.2312
2023/12/06 01:59:40.00,459305.5365,5634057.5528,2946963.5176,10.0,5.1927,6.5508,7.2315
2023/12/06 01:59:41.00,459305.4446,5634057.6021,2946962.8903,10.0,5.1936,6.5516,7.2317
2023/12/06 01:59:42.00,459305.7937,5634057.5598,2946963.0823,10.0,5.1946,6.5524,7.232
2023/12/06 01:59:43.00,459305.5269,5634058.7215,2946963.6452,10.0,5.1956,6.5532,7.2323
2023/12/06 01:59:44.00,459306.2787,5634057.5021,2946963.3179,10.0,5.1965,6.554,7.2325
2023/12/06 01:59:45.00,459304.9982,5634060.6428,2946964.6609,10.0,5.1975,6.5548,7.2328
2023/12/06 01:59:46.00,459306.8234,5634059.587,2946962.956,10.0,5.1985,6.5557,7.2331
2023/12/06 01:59:47.00,459305.9042,5634059.0646,2946962.8524,10.0,5.1994,6.5565,7.2333
2023/12/06 01:59:48.00,459306.9937,5634059.7338,2946961.443,10.0,5.2004,6.5573,7.2336
2023/12/06 01:59:49.00,459307.2054,5634060.7329,2946961.8069,10.0,5.2014,6.5581,7.2339
2023/12/06 01:59:50.00,459307.9997,5634060.8656,2946962.3118,10.0,5.2023,6.5589,7.2341
2023/12/06 01:59:51.00,459309.9839,5634059.0655,2946961.1156,10.0,5.2033,6.5597,7.2344
2023/12/06 01:59:52.00,459309.8933,5634058.9968,2946961.0961,10.0,5.2043,6.5605,7.2347
2023/12/06 01:59:53.00,459308.6549,5634059.5318,2946961.6898,10.0,5.2052,6.5613,7.2349
2023/12/06 01:59:54.00,459307.4267,5634061.3552,2946963.1493,10.0,5.2062,6.5621,7.2352
2023/12/06 01:59:55.00,459308.1728,5634062.0538,2946962.5394,10.0,5.2072,6.5629,7.2355
2023/12/06 01:59:56.00,459307.2048,5634063.2488,2946962.8856,10.0,5.2081,6.5638,7.2357
2023/12/06 01:59:57.00,459306.9091,5634063.0685,2946962.1791,10.0,5.2091,6.5646,7.236
2023/12/06 01:59:58.00,459307.4286,5634063.026,2946961.6917,10.0,5.2101,6.5654,7.2363
2023/12/06 01:59:59.00,459308.3972,5634061.2889,2946960.8862,10.0,5.2111,6.5662,7.2365
2023/12/06 02:00:00.00,459308.9326,5634059.1348,2946959.8753,10.0,5.212,6.567,7.2368
2023/12/06 02:00:01.00,459309.1966,5634059.3782,2946959.8039,10.0,5.213,6.5678,7.2371
2023/12/06 02:00:02.00,459307.8053,5634061.7462,2946960.5084,10.0,5.214,6.5686,7.2374
2023/12/06 02:00:03.00,459305.5322,5634062.9906,2946962.2382,10.0,5.2149,6.5695,7.2376
2023/12/06 02:00:04.00,459305.4545,5634062.6462,2946961.0996,10.0,5.2159,6.5703,7.2379
2023/12/06 02:00:05.00,459305.2016,5634062.1916,2946961.2399,10.0,5.2169,6.5711,7.2382
2023/12/06 02:00:06.00,459304.3561,5634063.7091,2946962.1285,10.0,5.2179,6.5719,7.2385
2023/12/06 02:00:07.00,459302.4346,5634065.5099,2946963.743,10.0,5.2188,6.5727,7.2387
2023/12/06 02:00:08.00,459300.5044,5634067.4269,2946964.7618,10.0,5.2198,6.5735,7.239
2023/12/06 02:00:09.00,459298.702,5634068.9952,2946965.7303,10.0,5.2208,6.5744,7.2393
2023/12/06 02:00:10.00,459298.0255,5634069.965,2946966.8728,10.0,5.2218,6.5752,7.2396
2023/12/06 02:00:11.00,459298.8401,5634069.1696,2946965.608,10.0,5.2227,6.576,7.2398
2023/12/06 02:00:12.00,459297.7494,5634068.9787,2946966.6584,10.0,5.2237,6.5768,7.2401
2023/12/06 02:00:13.00,459297.8133,5634067.9016,2946966.4499,10.0,5.2247,6.5777,7.2404
2023/12/06 02:00:14.00,459297.5292,5634067.7707,2946966.7634,10.0,5.2257,6.5785,7.2407
2023/12/06 02:00:15.00,459295.6639,5634068.3719,2946968.2447,10.0,5.2267,6.5793,7.2409
2023/12/06 02:00:16.00,459294.0613,5634069.1915,2946969.307,10.0,5.2276,6.5801,7.2412
2023/12/06 02:00:17.00,459294.1996,5634068.9089,2946968.7142,10.0,5.2286,6.5809,7.2415
2023/12/06 02:00:18.00,459292.3466,5634069.2649,2946969.7123,10.0,5.2296,6.5818,7.2418
2023/12/06 02:00:19.00,459292.0218,5634068.6195,2946970.703,10.0,5.2306,6.5826,7.2421
2023/12/06 02:00:20.00,459292.9644,5634067.6256,2946970.0448,10.0,5.2316,6.5834,7.2423
2023/12/06 02:00:21.00,459293.2852,5634067.8131,2946969.5377,10.0,5.2325,6.5843,7.2426
2023/12/06 02:00:22.00,459293.5275,5634066.376,2946969.5218,10.0,5.2335,6.5851,7.2429
2023/12/06 02:00:23.00,459294.0824,5634066.2422,2946970.172,10.0,5.2345,6.5859,7.2432
2023/12/06 02:00:24.00,459293.9052,5634066.3891,2946971.5376,10.0,5.2355,6.5867,7.2435
2023/12/06 02:00:25.00,459295.456,5634063.354,2946971.1864,10.0,5.2365,6.5876,7.2437
2023/12/06 02:00:26.00,459296.3772,5634061.1777,2946970.9302,10.0,5.2375,6.5884,7.244
2023/12/06 02:00:27.00,459297.4634,5634061.165,2946970.2834,10.0,5.2384,6.5892,7.2443
2023/12/06 02:00:28.00,459297.2752,5634061.8025,2946971.7576,10.0,5.2394,6.5901,7.2446
2023/12/06 02:00:29.00,459299.558,5634059.5725,2946970.0485,10.0,5.2404,6.5909,7.2449
2023/12/06 02:00:30.00,459301.2457,5634057.2322,2946968.5521,10.0,5.2414,6.5917,7.2452
2023/12/06 02:00:54.00,459303.1742,5634068.9627,2946986.248,9.0,5.298,6.9483,7.5207
2023/12/06 02:00:55.00,459302.664,5634069.5848,2946985.8819,9.0,5.2991,6.9492,7.5212
2023/12/06 02:00:56.00,459303.9164,5634067.3673,2946983.8817,9.0,5.3001,6.9501,7.5216
2023/12/06 02:00:57.00,459303.7374,5634067.9839,2946983.2267,9.0,5.3012,6.951,7.522
2023/12/06 02:00:58.00,459302.6507,5634069.3829,2946983.57,9.0,5.3022,6.9519,7.5225
2023/12/06 02:00:59.00,459303.2837,5634068.1056,2946981.5578,9.0,5.3033,6.9528,7.5229
2023/12/06 02:01:00.00,459305.6185,5634065.7092,2946980.0027,9.0,5.3043,6.9537,7.5234
2023/12/06 02:01:01.00,459306.5677,5634063.8205,2946978.5061,9.0,5.3054,6.9547,7.5238
2023/12/06 02:01:02.00,459305.3625,5634064.7203,2946978.3454,9.0,5.3064,6.9556,7.5243
2023/12/06 02:01:03.00,459306.2509,5634062.5854,2946976.7247,9.0,5.3075,6.9565,7.5247
2023/12/06 02:01:04.00,459303.3196,5634065.5979,2946977.6829,9.0,5.3085,6.9574,7.5251
2023/12/06 02:01:05.00,459298.0577,5634072.3372,2946979.5686,9.0,5.3096,6.9583,7.5256
2023/12/06 02:01:06.00,459295.479,5634074.5192,2946981.9173,9.0,5.3106,6.9592,7.526
2023/12/06 02:01:07.00,459294.7731,5634074.5045,2946980.7802,9.0,5.3117,6.9601,7.5265
2023/12/06 02:01:08.00,459290.8765,5634079.7907,2946982.3398,9.0,5.3127,6.961,7.5269
2023/12/06 02:01:09.00,459289.8541,5634081.4707,2946982.3536,9.0,5.3138,6.9619,7.5274
2023/12/06 02:01:10.00,459289.3555,5634081.802,2946981.3738,9.0,5.3148,6.9628,7.5278
2023/12/06 02:01:11.00,459287.3793,5634082.3138,2946981.768,9.0,5.3159,6.9637,7.5283
2023/12/06 02:01:12.00,459287.0811,5634084.2533,2946981.3721,9.0,5.3169,6.9647,7.5287
2023/12/06 02:01:13.00,459286.8485,5634084.1889,2946980.3675,9.0,5.318,6.9656,7.5292
2023/12/06 02:01:14.00,459285.4683,5634086.4587,2946981.8681,9.0,5.319,6.9665,7.5296
2023/12/06 02:01:15.00,459284.9117,5634087.3397,2946982.0573,9.0,5.3201,6.9674,7.5301
2023/12/06 02:01:16.00,459283.8503,5634087.6849,2946983.6453,9.0,5.3212,6.9683,7.5305
2023/12/06 02:01:17.00,459284.5691,5634086.0564,2946983.6958,9.0,5.3222,6.9692,7.531
2023/12/06 02:01:18.00,459283.8848,5634087.7889,2946985.3473,9.0,5.3233,6.9701,7.5314
2023/12/06 02:01:19.00,459284.7681,5634087.5164,2946984.5406,9.0,5.3243,6.9711,7.5319
2023/12/06 02:01:20.00,459284.4699,5634088.4127,2946985.9988,9.0,5.3254,6.972,7.5323
2023/12/06 02:01:21.00,459282.6526,5634091.2419,2946987.5086,9.0,5.3265,6.9729,7.5328
2023/12/06 02:01:22.00,459283.1266,5634089.0464,2946987.9875,9.0,5.3275,6.9738,7.5332
2023/12/06 02:01:23.00,459281.6117,5634092.2467,2946989.3707,9.0,5.3286,6.9747,7.5337
2023/12/06 02:01:24.00,459281.3352,5634091.5895,2946990.525,9.0,5.3296,6.9757,7.5341
2023/12/06 02:01:25.00,459282.9794,5634090.1943,2946990.6341,9.0,5.3307,6.9766,7.5346
2023/12/06 02:01:26.00,459284.0779,5634089.9854,2946989.6048,9.0,5.3318,6.9775,7.535
2023/12/06 02:01:27.00,459284.1889,5634089.2708,2946990.3434,9.0,5.3328,6.9784,7.5355
2023/12/06 02:01:28.00,459283.4028,5634090.2635,2946991.1369,9.0,5.3339,6.9794,7.536
2023/12/06 02:01:29.00,459283.0297,5634090.0364,2946991.2796,9.0,5.335,6.9803,7.5364
2023/12/06 02:01:30.00,459284.5656,5634086.3889,2946989.0399,9.0,5.336,6.9812,7.5369
2023/12/06 02:01:31.00,459286.5474,5634085.7742,2946988.4103,9.0,5.3371,6.9821,7.5373
2023/12/06 02:01:32.00,459289.0295,5634083.2688,2946987.4635,9.0,5.3382,6.9831,7.5378
2023/12/06 02:01:33.00,459290.2656,5634083.1377,2946986.6527,9.0,5.3392,6.984,7.5383
2023/12/06 02:01:34.00,459290.1398,5634083.3405,2946987.6648,9.0,5.3403,6.9849,7.5387
2023/12/06 02:01:35.00,459289.8255,5634083.4831,2946986.7366,9.0,5.3414,6.9859,7.5392
2023/12/06 02:01:36.00,459291.219,5634081.9893,2946985.3273,9.0,5.3424,6.9868,7.5396
2023/12/06 02:01:37.00,459291.0109,5634081.2027,2946984.5791,9.0,5.3435,6.9877,7.5401
2023/12/06 02:01:38.00,459293.3534,5634078.0066,2946981.9174,9.0,5.3446,6.9886,7.5406
2023/12/06 02:01:39.00,459294.8646,5634075.5782,2946979.0788,9.0,5.3456,6.9896,7.541
2023/12/06 02:01:40.00,459295.6347,5634075.4165,2946976.8672,9.0,5.3467,6.9905,7.5415
2023/12/06 02:01:41.00,459298.1201,5634071.1795,2946975.4378,9.0,5.3478,6.9914,7.542
2023/12/06 02:01:42.00,459299.0262,5634070.0052,2946973.9043,9.0,5.3489,6.9924,7.5424
2023/12/06 02:01:43.00,459301.4577,5634067.3589,2946970.6809,9.0,5.3499,6.9933,7.5429
2023/12/06 02:01:44.00,459301.6938,5634066.6052,2946969.3209,9.0,5.351,6.9943,7.5433
2023/12/06 02:01:45.00,459302.8266,5634066.2674,2946967.7592,9.0,5.3521,6.9952,7.5438
2023/12/06 02:01:46.00,459303.5918,5634066.6858,2946966.5914,9.0,5.3532,6.9961,7.5443
2023/12/06 02:01:47.00,459304.0717,5634066.2492,2946965.8341,9.0,5.3542,6.9971,7.5447
2023/12/06 02:01:48.00,459305.9606,5634063.5965,2946963.6357,9.0,5.3553,6.998,7.5452
