Column_0,Column_1,Column_2,Column_3,Column_5,Column_6,Column_7,Column_8
2024/02/14 04:19:28.00,27.682052682,85.319240414,1280.6349,15.0,4.3898,4.2544,11.4828
2024/02/14 04:19:29.00,27.682052815,85.319240399,1280.6404,15.0,4.3893,4.2546,11.484
2024/02/14 04:19:30.00,27.682052985,85.319240514,1280.6338,15.0,4.3888,4.2549,11.4853
2024/02/14 04:19:31.00,27.682053291,85.319240525,1280.7723,15.0,4.3883,4.2551,11.4866
2024/02/14 04:19:32.00,27.682053328,85.319240203,1280.7688,15.0,4.3879,4.2553,11.4878
2024/02/14 04:19:33.00,27.68205377,85.319240472,1280.8441,15.0,4.3874,4.2555,11.4891
2024/02/14 04:19:34.00,27.682053759,85.319240403,1280.7957,15.0,4.3869,4.2557,11.4903
2024/02/14 04:19:35.00,27.682053637,85.319240556,1280.8747,15.0,4.3864,4.2559,11.4916
2024/02/14 04:19:36.00,27.682053636,85.319240296,1280.7935,15.0,4.3859,4.2561,11.4929
2024/02/14 04:19:37.00,27.682052981,85.319239992,1280.7087,15.0,4.3855,4.2564,11.4941
2024/02/14 04:19:38.00,27.682052596,85.319239263,1280.4816,15.0,4.385,4.2566,11.4954
2024/02/14 04:19:39.00,27.682052799,85.319239287,1280.4063,15.0,4.3845,4.2568,11.4966
2024/02/14 04:19:40.00,27.682052114,85.319239397,1280.3645,15.0,4.384,4.257,11.4979
2024/02/14 04:19:41.00,27.682051552,85.319239243,1280.3682,15.0,4.3836,4.2572,11.4991
2024/02/14 04:19:42.00,27.682050724,85.319239516,1280.3254,15.0,4.3831,4.2574,11.5004
2024/02/14 04:19:43.00,27.682050899,85.319240081,1280.3913,15.0,4.3826,4.2576,11.5017
2024/02/14 04:19:44.00,27.682050943,85.319239673,1280.3418,15.0,4.3821,4.2578,11.5029
2024/02/14 04:19:45.00,27.682050952,85.319239813,1280.31,15.0,4.3816,4.2581,11.5042
2024/02/14 04:19:46.00,27.682013642,85.31923269,1288.7013,16.0,4.1847,4.2524,11.2043
2024/02/14 04:19:47.00,27.682051332,85.319240247,1280.3939,15.0,4.3807,4.2585,11.5067
2024/02/14 04:19:48.00,27.682051486,85.319240897,1280.4858,15.0,4.3802,4.2587,11.5079
2024/02/14 04:19:49.00,27.682051575,85.319241561,1280.6048,15.0,4.3797,4.2589,11.5092
2024/02/14 04:19:50.00,27.682051403,85.319241664,1280.5231,15.0,4.3793,4.2591,11.5104
2024/02/14 04:19:51.00,27.682051464,85.319241668,1280.367,15.0,4.3788,4.2593,11.5117
2024/02/14 04:19:52.00,27.682051107,85.319241838,1280.3797,15.0,4.3783,4.2596,11.5129
2024/02/14 04:19:53.00,27.68205081,85.319242029,1280.3412,15.0,4.3778,4.2598,11.5141
2024/02/14 04:19:54.00,27.682050847,85.319242233,1280.4332,15.0,4.3773,4.26,11.5154
2024/02/14 04:19:55.00,27.6820502,85.319241788,1280.3886,15.0,4.3769,4.2602,11.5166
2024/02/14 04:19:56.00,27.682028247,85.319237507,1285.4385,16.0,4.1815,4.2549,11.2107
2024/02/14 04:19:57.00,27.682025148,85.31923763,1286.3792,16.0,4.1812,4.2551,11.2113
2024/02/14 04:19:58.00,27.682022601,85.31923705,1286.9162,16.0,4.1809,4.2554,11.212
2024/02/14 04:19:59.00,27.68202481,85.319237697,1286.3399,16.0,4.1806,4.2556,11.2126
2024/02/14 04:20:00.00,27.682025668,85.319237846,1286.0806,16.0,4.1802,4.2559,11.2132
2024/02/14 04:20:01.00,27.682024509,85.319237214,1286.3684,16.0,4.1799,4.2561,11.2139
2024/02/14 04:20:02.00,27.682029218,85.319238127,1285.262,16.0,4.1796,4.2564,11.2145
2024/02/14 04:20:03.00,27.68202558,85.319237622,1286.0059,16.0,4.1793,4.2566,11.2151
2024/02/14 04:20:04.00,27.682024502,85.319237652,1286.5359,16.0,4.179,4.2569,11.2157
2024/02/14 04:20:05.00,27.682025795,85.319238358,1286.2119,16.0,4.1787,4.2571,11.2163
2024/02/14 04:20:06.00,27.682024019,85.319238844,1286.6654,16.0,4.1783,4.2574,11.2169
2024/02/14 04:20:07.00,27.682026732,85.319239708,1285.7228,16.0,4.178,4.2576,11.2176
2024/02/14 04:20:08.00,27.682027251,85.319239906,1285.6548,16.0,4.1777,4.2579,11.2182
2024/02/14 04:20:09.00,27.682030224,85.319240284,1284.9641,16.0,4.1774,4.2581,11.2188
2024/02/14 04:20:10.00,27.682036272,85.319241806,1283.7594,16.0,4.1771,4.2584,11.2194
2024/02/14 04:20:11.00,27.682037104,85.319241808,1283.6006,16.0,4.1767,4.2586,11.22
2024/02/14 04:20:12.00,27.682041641,85.319242981,1282.7921,16.0,4.1764,4.2589,11.2206
2024/02/14 04:20:13.00,27.682045271,85.3192434,1281.9854,16.0,4.1761,4.2591,11.2212
2024/02/14 04:20:14.00,27.682054289,85.319245235,1279.7923,16.0,4.1758,4.2594,11.2218
2024/02/14 04:20:15.00,27.682059108,85.319246248,1278.7208,16.0,4.1755,4.2596,11.2224
2024/02/14 04:20:16.00,27.682059803,85.319247139,1278.7002,16.0,4.1751,4.2599,11.223
2024/02/14 04:20:17.00,27.682064738,85.319247911,1277.6011,16.0,4.1748,4.2601,11.2236
2024/02/14 04:20:18.00,27.682067531,85.319248738,1277.1297,16.0,4.1745,4.2604,11.2242
2024/02/14 04:20:19.00,27.682072022,85.319249532,1276.0027,16.0,4.1742,4.2606,11.2248
2024/02/14 04:20:20.00,27.682073235,85.319249972,1275.6546,16.0,4.1738,4.2609,11.2254
2024/02/14 04:20:21.00,27.68207353,85.319249993,1275.3273,16.0,4.1735,4.2611,11.226
2024/02/14 04:20:22.00,27.682077663,85.319251719,1274.5398,16.0,4.1732,4.2614,11.2266
2024/02/14 04:20:23.00,27.682079491,85.319252051,1274.1277,16.0,4.1729,4.2616,11.2272
2024/02/14 04:20:24.00,27.682081356,85.319252168,1273.8169,16.0,4.1726,4.2618,11.2278
2024/02/14 04:20:25.00,27.682082569,85.319252351,1273.4894,16.0,4.1722,4.2621,11.2284
2024/02/14 04:20:26.00,27.682085513,85.319253109,1272.8915,16.0,4.1719,4.2623,11.229
2024/02/14 04:20:27.00,27.682084842,85.31925326,1273.178,16.0,4.1716,4.2626,11.2296
2024/02/14 04:20:28.00,27.682087426,85.319254508,1272.7366,16.0,4.1713,4.2628,11.2301
2024/02/14 04:20:29.00,27.682089041,85.319255258,1272.5448,16.0,4.1709,4.2631,11.2307
2024/02/14 04:20:30.00,27.682085941,85.319254551,1273.3193,16.0,4.1706,4.2633,11.2313
2024/02/14 04:20:31.00,27.682083071,85.319253665,1273.7918,16.0,4.1703,4.2636,11.2319
2024/02/14 04:20:32.00,27.682080597,85.31925351,1274.4814,16.0,4.17,4.2638,11.2325
2024/02/14 04:20:33.00,27.68208134,85.319254449,1274.44,16.0,4.1696,4.2641,11.233
2024/02/14 04:20:34.00,27.682079042,85.319253877,1274.9422,16.0,4.1693,4.2643,11.2336
2024/02/14 04:20:35.00,27.682074678,85.31925354,1276.0583,16.0,4.169,4.2646,11.2342
2024/02/14 04:20:36.00,27.682075908,85.31925359,1275.7157,16.0,4.1686,4.2648,11.2348
2024/02/14 04:20:37.00,27.682070331,85.319252776,1276.9741,16.0,4.1683,4.265,11.2353
2024/02/14 04:20:38.00,27.682067647,85.319251918,1277.8811,16.0,4.168,4.2653,11.2359
2024/02/14 04:20:39.00,27.682062687,85.319251313,1279.1972,16.0,4.1677,4.2655,11.2365
2024/02/14 04:20:40.00,27.682056751,85.319249913,1280.8811,16.0,4.1673,4.2658,11.237
2024/02/14 04:20:41.00,27.682052083,85.319248758,1282.1528,16.0,4.167,4.266,11.2376
2024/02/14 04:20:42.00,27.682052285,85.319248881,1282.3651,16.0,4.1667,4.2663,11.2382
2024/02/14 04:20:43.00,27.682050965,85.319247928,1282.5702,16.0,4.1664,4.2665,11.2387
2024/02/14 04:20:44.00,27.682047942,85.319247563,1283.1874,16.0,4.166,4.2668,11.2393
2024/02/14 04:20:45.00,27.682045058,85.319246933,1283.8246,16.0,4.1657,4.267,11.2398
2024/02/14 04:20:46.00,27.682044354,85.3192473,1284.0598,16.0,4.1654,4.2672,11.2404
2024/02/14 04:20:47.00,27.682040289,85.319246135,1284.959,16.0,4.165,4.2675,11.241
2024/02/14 04:20:48.00,27.682037908,85.319245794,1285.628,16.0,4.1647,4.2677,11.2415
2024/02/14 04:20:49.00,27.682037069,85.319244542,1285.6734,16.0,4.1644,4.268,11.2421
2024/02/14 04:20:50.00,27.682036164,85.319244249,1285.6149,16.0,4.1641,4.2682,11.2426
2024/02/14 04:20:51.00,27.682041371,85.319244669,1284.1518,16.0,4.1637,4.2685,11.2432
2024/02/14 04:20:52.00,27.682043502,85.319244635,1283.5137,16.0,4.1634,4.2687,11.2437
2024/02/14 04:20:53.00,27.682042931,85.31924447,1283.4996,16.0,4.1631,4.2689,11.2443
2024/02/14 04:20:54.00,27.682043992,85.319244398,1283.2791,16.0,4.1627,4.2692,11.2448
2024/02/14 04:20:55.00,27.682042386,85.31924451,1283.799,16.0,4.1624,4.2694,11.2454
2024/02/14 04:20:56.00,27.682041512,85.319244184,1283.9352,16.0,4.1621,4.2697,11.2459
2024/02/14 04:20:57.00,27.68204065,85.319243413,1283.7222,16.0,4.1617,4.2699,11.2464
2024/02/14 04:20:58.00,27.682038771,85.319243126,1283.8959,16.0,4.1614,4.2702,11.247
2024/02/14 04:20:59.00,27.682038547,85.319242665,1283.6736,16.0,4.1611,4.2704,11.2475
2024/02/14 04:21:00.00,27.682038899,85.319242877,1283.7424,16.0,4.1607,4.2706,11.2481
2024/02/14 04:21:01.00,27.682039024,85.319242627,1283.6051,16.0,4.1604,4.2709,11.2486
2024/02/14 04:21:02.00,27.682039729,85.319242808,1283.6032,16.0,4.1601,4.2711,11.2491
2024/02/14 04:21:03.00,27.682039893,85.319242343,1283.242,16.0,4.1597,4.2714,11.2497
2024/02/14 04:21:04.00,27.682039916,85.31924214,1283.1602,16.0,4.1594,4.2716,11.2502
2024/02/14 04:21:05.00,27.682040446,85.319242482,1282.9775,16.0,4.1591,4.2719,11.2507
2024/02/14 04:21:06.00,27.682040448,85.319242047,1282.8877,16.0,4.1587,4.2721,11.2512
2024/02/14 04:21:07.00,27.682040993,85.319242252,1282.7937,16.0,4.1584,4.2723,11.2518
2024/02/14 04:21:08.00,27.682040892,85.319242005,1282.6178,16.0,4.1581,4.2726,11.2523
2024/02/14 04:21:09.00,27.682041164,85.319241512,1282.5133,16.0,4.1577,4.2728,11.2528
2024/02/14 04:21:10.00,27.682041992,85.319241494,1282.5688,16.0,4.1574,4.2731,11.2533
2024/02/14 04:21:11.00,27.682041609,85.319241164,1282.5075,16.0,4.1571,4.2733,11.2539
2024/02/14 04:21:12.00,27.682041631,85.319241108,1282.4521,16.0,4.1567,4.2735,11.2544
2024/02/14 04:21:13.00,27.682042068,85.319241057,1282.4983,16.0,4.1564,4.2738,11.2549
2024/02/14 04:21:14.00,27.682044126,85.319241354,1282.1167,16.0,4.1561,4.274,11.2554
2024/02/14 04:21:15.00,27.682051424,85.319242377,1280.4636,16.0,4.1557,4.2743,11.2559
2024/02/14 04:21:16.00,27.682054604,85.319243198,1280.0265,15.0,4.3375,4.2774,11.6148
2024/02/14 04:21:17.00,27.682054746,85.319242947,1280.133,15.0,4.337,4.2776,11.616
2024/02/14 04:21:18.00,27.682055217,85.319242874,1280.1538,15.0,4.3366,4.2779,11.6172
2024/02/14 04:21:19.00,27.682056082,85.319242895,1280.1937,15.0,4.3361,4.2781,11.6184
2024/02/14 04:21:20.00,27.682056477,85.319242918,1280.0699,15.0,4.3356,4.2783,11.6195
2024/02/14 04:21:21.00,27.68205698,85.319242913,1280.039,15.0,4.3351,4.2785,11.6207
2024/02/14 04:21:22.00,27.682057678,85.319243003,1280.1947,15.0,4.3346,4.2787,11.6219
2024/02/14 04:21:23.00,27.682058233,85.319243265,1280.2434,15.0,4.3341,4.2789,11.6231
2024/02/14 04:21:24.00,27.682058572,85.319243067,1280.3774,15.0,4.3336,4.2791,11.6242
2024/02/14 04:21:25.00,27.682059332,85.319243651,1280.4539,15.0,4.3331,4.2793,11.6254
2024/02/14 04:21:26.00,27.682059351,85.319242939,1280.5194,15.0,4.3326,4.2795,11.6266
2024/02/14 04:21:27.00,27.68206053,85.31924305,1280.5778,15.0,4.3321,4.2798,11.6277
2024/02/14 04:21:28.00,27.682061559,85.319243627,1280.8118,15.0,4.3316,4.28,11.6289
2024/02/14 04:21:29.00,27.682061305,85.319243453,1280.7049,15.0,4.3312,4.2802,11.6301
2024/02/14 04:21:30.00,27.682061485,85.319243191,1280.6027,15.0,4.3307,4.2804,11.6313
2024/02/14 04:21:31.00,27.682061499,85.319242852,1280.4706,15.0,4.3302,4.2806,11.6324
2024/02/14 04:21:32.00,27.682061288,85.319242252,1280.412,15.0,4.3297,4.2808,11.6336
2024/02/14 04:21:33.00,27.682061191,85.31924195,1280.3146,15.0,4.3292,4.281,11.6348
2024/02/14 04:21:34.00,27.682060825,85.319241651,1280.3202,15.0,4.3287,4.2812,11.6359
2024/02/14 04:21:35.00,27.682060642,85.319241409,1280.3981,15.0,4.3282,4.2814,11.6371
2024/02/14 04:21:36.00,27.682060554,85.319241649,1280.5997,15.0,4.3277,4.2817,11.6383
2024/02/14 04:21:37.00,27.682060931,85.319241921,1280.7056,15.0,4.3272,4.2819,11.6394
2024/02/14 04:21:38.00,27.682060579,85.319242136,1280.7035,15.0,4.3267,4.2821,11.6406
2024/02/14 04:21:39.00,27.68206047,85.319241453,1280.4972,15.0,4.3262,4.2823,11.6417
2024/02/14 04:21:40.00,27.682060295,85.319241489,1280.6221,15.0,4.3257,4.2825,11.6429
2024/02/14 04:21:41.00,27.682059997,85.319242165,1280.6124,15.0,4.3252,4.2827,11.6441
2024/02/14 04:21:42.00,27.682059741,85.319242054,1280.5311,15.0,4.3247,4.2829,11.6452
2024/02/14 04:21:43.00,27.682060459,85.319242498,1280.652,15.0,4.3243,4.2831,11.6464
2024/02/14 04:21:44.00,27.682060517,85.319242897,1280.6441,15.0,4.3238,4.2834,11.6475
2024/02/14 04:21:45.00,27.682066754,85.31925058,1280.5249,15.0,4.3233,4.2836,11.6487
2024/02/14 04:21:46.00,27.682063895,85.31924845,1280.0845,15.0,4.3228,4.2838,11.6498
2024/02/14 04:21:47.00,27.68206268,85.3192493,1280.6583,15.0,4.3223,4.284,11.651
2024/02/14 04:21:48.00,27.682062035,85.319246764,1281.3695,15.0,4.3218,4.2842,11.6522
2024/02/14 04:21:49.00,27.682057908,85.319243523,1281.6125,15.0,4.3213,4.2844,11.6533
2024/02/14 04:21:50.00,27.682038585,85.319241569,1286.971,16.0,4.1438,4.2826,11.273
2024/02/14 04:21:51.00,27.682033622,85.31923979,1287.5553,16.0,4.1434,4.2828,11.2735
2024/02/14 04:21:52.00,27.682032715,85.319239869,1287.7059,16.0,4.1431,4.283,11.274
2024/02/14 04:21:53.00,27.682030374,85.319239542,1288.4277,16.0,4.1427,4.2833,11.2744
2024/02/14 04:21:54.00,27.682024181,85.319239036,1290.0723,16.0,4.1424,4.2835,11.2749
2024/02/14 04:21:55.00,27.682020944,85.31923813,1290.8408,16.0,4.142,4.2837,11.2753
2024/02/14 04:21:56.00,27.682018666,85.319237816,1291.3537,16.0,4.1417,4.284,11.2758
2024/02/14 04:21:57.00,27.682016703,85.319237655,1291.8875,16.0,4.1414,4.2842,11.2762
2024/02/14 04:21:58.00,27.682014735,85.319237451,1292.5273,16.0,4.141,4.2844,11.2767
2024/02/14 04:21:59.00,27.682013059,85.319236648,1292.6994,16.0,4.1407,4.2847,11.2771
2024/02/14 04:22:00.00,27.682012897,85.319236748,1293.0264,16.0,4.1403,4.2849,11.2776
2024/02/14 04:22:01.00,27.682012858,85.319236675,1292.8943,16.0,4.14,4.2851,11.278
2024/02/14 04:22:02.00,27.68201331,85.319236556,1292.8156,16.0,4.1396,4.2854,11.2785
2024/02/14 04:22:03.00,27.682010546,85.31923574,1293.0914,16.0,4.1393,4.2856,11.2789
2024/02/14 04:22:04.00,27.682007833,85.319235731,1293.6835,16.0,4.1389,4.2858,11.2794
2024/02/14 04:22:05.00,27.682009386,85.319235527,1293.093,16.0,4.1386,4.2861,11.2798
2024/02/14 04:22:06.00,27.682009944,85.31923493,1292.8281,16.0,4.1382,4.2863,11.2802
2024/02/14 04:22:07.00,27.682009487,85.319234322,1292.6522,16.0,4.1379,4.2865,11.2807
2024/02/14 04:22:08.00,27.682009535,85.319234583,1292.4703,16.0,4.1375,4.2868,11.2811
2024/02/14 04:22:09.00,27.682012116,85.319234238,1291.324,16.0,4.1372,4.287,11.2816
2024/02/14 04:22:10.00,27.682014106,85.319233741,1290.3742,16.0,4.1368,4.2872,11.282
2024/02/14 04:22:11.00,27.682014497,85.319233626,1289.9263,16.0,4.1365,4.2874,11.2824
2024/02/14 04:22:12.00,27.682014156,85.319233282,1289.8935,16.0,4.1361,4.2877,11.2829
2024/02/14 04:22:13.00,27.682016341,85.319232998,1289.1848,16.0,4.1358,4.2879,11.2833
2024/02/14 04:22:14.00,27.682018485,85.31923299,1288.5563,16.0,4.1354,4.2881,11.2837
2024/02/14 04:22:15.00,27.682017951,85.319232483,1288.5095,16.0,4.1351,4.2884,11.2841
2024/02/14 04:22:16.00,27.682021137,85.319232572,1287.399,16.0,4.1347,4.2886,11.2846
2024/02/14 04:22:17.00,27.682020508,85.319232783,1287.5859,16.0,4.1344,4.2888,11.285
2024/02/14 04:22:18.00,27.682020781,85.319233482,1287.7924,16.0,4.134,4.2891,11.2854
2024/02/14 04:22:19.00,27.682021751,85.319233595,1287.3264,16.0,4.1337,4.2893,11.2858
2024/02/14 04:22:20.00,27.682020704,85.319233417,1287.5516,16.0,4.1333,4.2895,11.2863
2024/02/14 04:22:21.00,27.682022799,85.319233932,1287.026,16.0,4.133,4.2898,11.2867
2024/02/14 04:22:22.00,27.682020795,85.319234279,1287.6684,16.0,4.1326,4.29,11.2871
2024/02/14 04:22:23.00,27.682021859,85.31923518,1287.2363,16.0,4.1322,4.2902,11.2875
2024/02/14 04:22:24.00,27.68202266,85.319235224,1287.0452,16.0,4.1319,4.2904,11.2879
2024/02/14 04:22:25.00,27.682024287,85.319235565,1286.4719,16.0,4.1315,4.2907,11.2883
2024/02/14 04:22:26.00,27.682024731,85.319235873,1286.337,16.0,4.1312,4.2909,11.2887
2024/02/14 04:22:27.00,27.682025405,85.31923597,1285.9894,16.0,4.1308,4.2911,11.2891
2024/02/14 04:22:28.00,27.682025499,85.319236275,1286.1649,16.0,4.1305,4.2914,11.2895
2024/02/14 04:22:29.00,27.682025867,85.319236481,1286.1939,16.0,4.1301,4.2916,11.29
2024/02/14 04:22:30.00,27.682025014,85.319236806,1286.4612,16.0,4.1298,4.2918,11.2904
2024/02/14 04:22:31.00,27.682028759,85.319237446,1285.4575,16.0,4.1294,4.292,11.2908
2024/02/14 04:22:32.00,27.682031464,85.31923839,1285.1964,16.0,4.1291,4.2923,11.2912
2024/02/14 04:22:33.00,27.68203367,85.319238705,1284.6907,16.0,4.1287,4.2925,11.2916
2024/02/14 04:22:34.00,27.682036669,85.31923848,1283.9829,16.0,4.1283,4.2927,11.292
2024/02/14 04:22:35.00,27.682042634,85.319239891,1282.5376,16.0,4.128,4.293,11.2924
2024/02/14 04:22:36.00,27.682046227,85.31924076,1281.6027,16.0,4.1276,4.2932,11.2928
2024/02/14 04:22:37.00,27.682049069,85.319242113,1280.8852,16.0,4.1273,4.2934,11.2931
2024/02/14 04:22:38.00,27.682052168,85.319242796,1280.1997,16.0,4.1269,4.2936,11.2935
2024/02/14 04:22:39.00,27.682054874,85.319243365,1279.5618,16.0,4.1266,4.2939,11.2939
2024/02/14 04:22:40.00,27.682056321,85.319243639,1279.2274,16.0,4.1262,4.2941,11.2943
2024/02/14 04:22:41.00,27.682061805,85.319244713,1278.0345,16.0,4.1258,4.2943,11.2947
2024/02/14 04:22:42.00,27.682060586,85.319245073,1278.5043,16.0,4.1255,4.2945,11.2951
2024/02/14 04:22:43.00,27.682059141,85.319245646,1279.2214,16.0,4.1251,4.2948,11.2955
2024/02/14 04:22:44.00,27.682060377,85.319245966,1278.9665,16.0,4.1248,4.295,11.2959
2024/02/14 04:22:45.00,27.682061814,85.319246126,1278.5315,16.0,4.1244,4.2952,11.2962
2024/02/14 04:22:46.00,27.682061186,85.319246559,1278.8421,16.0,4.1241,4.2955,11.2966
2024/02/14 04:22:47.00,27.682055785,85.319245432,1280.224,16.0,4.1237,4.2957,11.297
2024/02/14 04:22:48.00,27.682057166,85.319245868,1280.1768,16.0,4.1233,4.2959,11.2974
2024/02/14 04:22:49.00,27.682056293,85.31924578,1280.3894,16.0,4.123,4.2961,11.2978
2024/02/14 04:22:50.00,27.68205601,85.31924552,1280.5894,16.0,4.1226,4.2964,11.2981
2024/02/14 04:22:51.00,27.682056113,85.319245394,1280.5884,16.0,4.1223,4.2966,11.2985
2024/02/14 04:22:52.00,27.682055825,85.319245522,1281.057,16.0,4.1219,4.2968,11.2989
2024/02/14 04:22:53.00,27.682056695,85.319246059,1280.971,16.0,4.1215,4.297,11.2992
2024/02/14 04:22:54.00,27.682056244,85.319245813,1281.1427,16.0,4.1212,4.2973,11.2996
2024/02/14 04:22:55.00,27.682056008,85.319245967,1281.4858,16.0,4.1208,4.2975,11.3
2024/02/14 04:22:56.00,27.68205471,85.319246374,1282.1304,16.0,4.1205,4.2977,11.3003
2024/02/14 04:22:57.00,27.682055421,85.319247044,1282.1997,16.0,4.1201,4.2979,11.3007
2024/02/14 04:22:58.00,27.682055883,85.319247626,1282.0376,16.0,4.1197,4.2982,11.3011
2024/02/14 04:22:59.00,27.682056421,85.319248111,1282.0387,16.0,4.1194,4.2984,11.3014
2024/02/14 04:23:00.00,27.682053265,85.319248249,1283.1059,16.0,4.119,4.2986,11.3018
2024/02/14 04:23:01.00,27.682051114,85.3192486,1284.0329,16.0,4.1186,4.2988,11.3021
2024/02/14 04:23:02.00,27.682048161,85.31924833,1285.0002,16.0,4.1183,4.299,11.3025
2024/02/14 04:23:03.00,27.682044086,85.31924824,1286.1869,16.0,4.1179,4.2993,11.3029
2024/02/14 04:23:04.00,27.682042048,85.319248858,1286.9598,16.0,4.1176,4.2995,11.3032
2024/02/14 04:23:05.00,27.682044361,85.319249051,1286.511,16.0,4.1172,4.2997,11.3036
2024/02/14 04:23:06.00,27.682043235,85.319249764,1286.9502,16.0,4.1168,4.2999,11.3039
2024/02/14 04:23:07.00,27.682039503,85.319250053,1288.2959,16.0,4.1165,4.3002,11.3043
2024/02/14 04:23:08.00,27.682035446,85.31924936,1289.385,16.0,4.1161,4.3004,11.3046
2024/02/14 04:23:09.00,27.682034232,85.319249208,1289.7025,16.0,4.1157,4.3006,11.305
2024/02/14 04:23:10.00,27.682030962,85.319249027,1290.7466,16.0,4.1154,4.3008,11.3053
2024/02/14 04:23:11.00,27.682029343,85.319249152,1291.4041,16.0,4.115,4.3011,11.3056
2024/02/14 04:23:12.00,27.68202848,85.319248879,1291.5908,16.0,4.1146,4.3013,11.306
2024/02/14 04:23:13.00,27.682026167,85.319247932,1292.1291,16.0,4.1143,4.3015,11.3063
2024/02/14 04:23:14.00,27.682023388,85.31924745,1292.8766,16.0,4.1139,4.3017,11.3067
2024/02/14 04:23:15.00,27.682021976,85.319247176,1293.1963,16.0,4.1136,4.3019,11.307
2024/02/14 04:23:16.00,27.6820183,85.319246588,1294.0942,16.0,4.1132,4.3022,11.3073
2024/02/14 04:23:17.00,27.682017002,85.319246467,1294.2015,16.0,4.1128,4.3024,11.3077
2024/02/14 04:23:18.00,27.6820163,85.319246243,1294.4238,16.0,4.1125,4.3026,11.308
2024/02/14 04:23:19.00,27.682017671,85.319246578,1293.9946,16.0,4.1121,4.3028,11.3083
2024/02/14 04:23:20.00,27.682019819,85.319246365,1293.2895,16.0,4.1117,4.3031,11.3087
2024/02/14 04:23:21.00,27.682021721,85.31924598,1292.6235,16.0,4.1114,4.3033,11.309
2024/02/14 04:23:22.00,27.682057432,85.319247788,1281.4927,15.0,4.2749,4.304,11.7568
2024/02/14 04:23:23.00,27.682056661,85.319247654,1281.637,15.0,4.2744,4.3042,11.7579
2024/02/14 04:23:24.00,27.682056069,85.319247034,1281.5384,15.0,4.2739,4.3044,11.759
2024/02/14 04:23:25.00,27.682055434,85.319246633,1281.6547,15.0,4.2734,4.3046,11.7601
2024/02/14 04:23:26.00,27.682032247,85.319244541,1288.5524,16.0,4.1095,4.3044,11.3106
2024/02/14 04:23:27.00,27.682032934,85.319244364,1288.2415,16.0,4.1091,4.3046,11.3109
2024/02/14 04:23:28.00,27.682052564,85.319244514,1281.8746,15.0,4.2719,4.3052,11.7633
2024/02/14 04:23:29.00,27.682051403,85.319243829,1281.8965,15.0,4.2714,4.3054,11.7643
2024/02/14 04:23:30.00,27.6820501,85.319242781,1281.9526,15.0,4.2709,4.3057,11.7654
2024/02/14 04:23:31.00,27.682032235,85.319240681,1286.8114,16.0,4.1077,4.3055,11.3122
2024/02/14 04:23:32.00,27.682033064,85.319239985,1286.2976,16.0,4.1073,4.3057,11.3125
2024/02/14 04:23:33.00,27.682034398,85.319239272,1285.7089,16.0,4.1069,4.3059,11.3128
2024/02/14 04:23:34.00,27.682030949,85.319237887,1286.3834,16.0,4.1066,4.3061,11.3131
2024/02/14 04:23:35.00,27.682028711,85.319236069,1286.6465,16.0,4.1062,4.3064,11.3134
2024/02/14 04:23:36.00,27.682025543,85.319234902,1287.3694,16.0,4.1058,4.3066,11.3137
