Column_0,Column_1,Column_2,Column_3,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11
2024/02/14 04:19:28.00,461332.1582,5634451.4771,2945940.6828,13.0,3.5287,11.2818,6.9751,0.4251,5.9601,0.7971
2024/02/14 04:19:29.00,461332.0927,5634451.5642,2945940.9229,13.0,3.5287,11.2825,6.9752,0.427,5.9598,0.7981
2024/02/14 04:19:30.00,461332.157,5634451.6425,2945940.7543,13.0,3.5287,11.2832,6.9753,0.4289,5.9595,0.799
2024/02/14 04:19:31.00,461332.1452,5634451.3007,2945940.6677,13.0,3.5287,11.2839,6.9755,0.4308,5.9593,0.8
2024/02/14 04:19:32.00,461332.2278,5634451.0727,2945940.4919,13.0,3.5287,11.2846,6.9756,0.4326,5.959,0.8009
2024/02/14 04:19:33.00,461332.1711,5634451.0242,2945940.6021,13.0,3.5286,11.2853,6.9758,0.4345,5.9588,0.8019
2024/02/14 04:19:34.00,461332.1911,5634451.0281,2945940.6474,13.0,3.5286,11.286,6.9759,0.4364,5.9585,0.8028
2024/02/14 04:19:35.00,461332.1659,5634450.8997,2945940.4595,13.0,3.5286,11.2867,6.976,0.4382,5.9582,0.8038
2024/02/14 04:19:36.00,461332.1791,5634450.6306,2945940.1804,13.0,3.5286,11.2874,6.9762,0.4401,5.958,0.8047
2024/02/14 04:19:37.00,461332.1229,5634450.4731,2945940.2617,13.0,3.5286,11.288,6.9763,0.4419,5.9577,0.8057
2024/02/14 04:19:38.00,461332.2255,5634450.8523,2945940.4861,13.0,3.5285,11.2887,6.9764,0.4438,5.9574,0.8066
2024/02/14 04:19:39.00,461332.2248,5634450.9918,2945940.7745,13.0,3.5285,11.2894,6.9766,0.4456,5.9572,0.8076
2024/02/14 04:19:40.00,461332.3275,5634450.6231,2945940.4798,13.0,3.5285,11.2901,6.9767,0.4474,5.9569,0.8085
2024/02/14 04:19:41.00,461332.2925,5634450.425,2945940.3247,13.0,3.5285,11.2908,6.9768,0.4492,5.9566,0.8095
2024/02/14 04:19:42.00,461332.3455,5634450.458,2945940.3575,13.0,3.5285,11.2915,6.9769,0.4511,5.9564,0.8104
2024/02/14 04:19:43.00,461332.2985,5634450.7668,2945940.6314,13.0,3.5285,11.2922,6.9771,0.4529,5.9561,0.8113
2024/02/14 04:19:44.00,461332.3135,5634450.8543,2945940.6299,13.0,3.5284,11.2928,6.9772,0.4547,5.9558,0.8123
2024/02/14 04:19:45.00,461332.2765,5634450.689,2945940.6192,13.0,3.5284,11.2935,6.9773,0.4565,5.9556,0.8132
2024/02/14 04:19:46.00,461332.3373,5634450.1801,2945940.2193,13.0,3.5284,11.2942,6.9775,0.4582,5.9553,0.8142
2024/02/14 04:19:47.00,461332.2652,5634450.3683,2945940.1877,13.0,3.5284,11.2949,6.9776,0.46,5.955,0.8151
2024/02/14 04:19:48.00,461332.2354,5634450.6415,2945940.3216,13.0,3.5284,11.2956,6.9777,0.4618,5.9547,0.816
2024/02/14 04:19:49.00,461332.2836,5634450.7853,2945940.4192,13.0,3.5283,11.2963,6.9779,0.4636,5.9545,0.817
2024/02/14 04:19:50.00,461332.2956,5634450.5325,2945940.3834,13.0,3.5283,11.297,6.978,0.4653,5.9542,0.8179
2024/02/14 04:19:51.00,461332.3287,5634450.2271,2945940.2954,13.0,3.5283,11.2976,6.9781,0.4671,5.9539,0.8188
2024/02/14 04:19:52.00,461332.4191,5634449.8345,2945940.007,13.0,3.5283,11.2983,6.9782,0.4688,5.9536,0.8198
2024/02/14 04:19:53.00,461332.3847,5634449.8941,2945940.1972,13.0,3.5283,11.299,6.9784,0.4706,5.9534,0.8207
2024/02/14 04:19:54.00,461332.386,5634449.8923,2945940.3777,13.0,3.5283,11.2997,6.9785,0.4723,5.9531,0.8216
2024/02/14 04:19:55.00,461332.3711,5634449.8405,2945940.4272,13.0,3.5282,11.3004,6.9786,0.474,5.9528,0.8226
2024/02/14 04:19:56.00,461332.3266,5634449.6655,2945940.3004,13.0,3.5282,11.3011,6.9788,0.4757,5.9525,0.8235
2024/02/14 04:19:57.00,461332.3608,5634449.3576,2945940.0976,13.0,3.5282,11.3017,6.9789,0.4775,5.9523,0.8244
2024/02/14 04:19:58.00,461332.4075,5634449.3694,2945939.848,13.0,3.5282,11.3024,6.979,0.4792,5.952,0.8254
2024/02/14 04:19:59.00,461332.4183,5634449.3971,2945939.9497,13.0,3.5282,11.3031,6.9791,0.4809,5.9517,0.8263
2024/02/14 04:20:00.00,461332.3932,5634449.6496,2945940.173,13.0,3.5282,11.3038,6.9793,0.4826,5.9514,0.8272
2024/02/14 04:20:01.00,461332.5012,5634449.7712,2945940.2561,13.0,3.5281,11.3045,6.9794,0.4843,5.9512,0.8281
2024/02/14 04:20:02.00,461332.588,5634449.8712,2945940.3457,13.0,3.5281,11.3052,6.9795,0.486,5.9509,0.8291
2024/02/14 04:20:03.00,461332.6187,5634449.7023,2945940.1926,13.0,3.5281,11.3058,6.9796,0.4877,5.9506,0.83
2024/02/14 04:20:04.00,461332.7026,5634449.7147,2945940.0254,13.0,3.5281,11.3065,6.9798,0.4894,5.9503,0.8309
2024/02/14 04:20:05.00,461332.654,5634449.5228,2945939.9181,13.0,3.5281,11.3072,6.9799,0.491,5.95,0.8318
2024/02/14 04:20:06.00,461332.7007,5634449.7274,2945940.1948,13.0,3.528,11.3079,6.98,0.4927,5.9497,0.8328
2024/02/14 04:20:07.00,461332.7363,5634449.9982,2945940.2558,13.0,3.528,11.3086,6.9801,0.4944,5.9495,0.8337
2024/02/14 04:20:08.00,461332.6829,5634449.976,2945940.3669,13.0,3.528,11.3092,6.9803,0.496,5.9492,0.8346
2024/02/14 04:20:09.00,461332.7059,5634449.71,2945940.1058,13.0,3.528,11.3099,6.9804,0.4977,5.9489,0.8355
2024/02/14 04:20:10.00,461332.6397,5634449.6952,2945940.0847,13.0,3.528,11.3106,6.9805,0.4993,5.9486,0.8364
2024/02/14 04:20:11.00,461332.6977,5634449.505,2945939.9687,13.0,3.528,11.3113,6.9806,0.501,5.9483,0.8374
2024/02/14 04:20:12.00,461332.7246,5634449.5761,2945940.0869,13.0,3.5279,11.312,6.9808,0.5026,5.948,0.8383
2024/02/14 04:20:13.00,461332.7302,5634449.6019,2945940.1141,13.0,3.5279,11.3126,6.9809,0.5043,5.9478,0.8392
2024/02/14 04:20:14.00,461332.6595,5634449.5949,2945940.4277,13.0,3.5279,11.3133,6.981,0.5059,5.9475,0.8401
2024/02/14 04:20:15.00,461332.6735,5634449.7734,2945940.4746,13.0,3.5279,11.314,6.9811,0.5075,5.9472,0.841
2024/02/14 04:20:16.00,461332.6871,5634449.7656,2945940.4372,13.0,3.5279,11.3147,6.9813,0.5091,5.9469,0.8419
2024/02/14 04:20:17.00,461332.6731,5634449.591,2945940.2671,13.0,3.5279,11.3154,6.9814,0.5108,5.9466,0.8429
2024/02/14 04:20:18.00,461332.7225,5634449.7179,2945940.1155,13.0,3.5278,11.316,6.9815,0.5124,5.9463,0.8438
2024/02/14 04:20:19.00,461332.7484,5634449.863,2945940.0286,13.0,3.5278,11.3167,6.9816,0.514,5.946,0.8447
2024/02/14 04:20:20.00,461332.759,5634449.9889,2945940.0066,13.0,3.5278,11.3174,6.9817,0.5156,5.9457,0.8456
2024/02/14 04:20:21.00,461332.7813,5634450.127,2945940.1507,13.0,3.5278,11.3181,6.9819,0.5172,5.9455,0.8465
2024/02/14 04:20:22.00,461332.7722,5634450.2127,2945940.3851,13.0,3.5278,11.3188,6.982,0.5188,5.9452,0.8474
2024/02/14 04:20:23.00,461332.7313,5634450.3666,2945940.637,13.0,3.5278,11.3194,6.9821,0.5204,5.9449,0.8483
2024/02/14 04:20:24.00,461332.8302,5634450.4236,2945940.5656,13.0,3.5277,11.3201,6.9822,0.522,5.9446,0.8492
2024/02/14 04:20:25.00,461332.778,5634450.3833,2945940.3645,13.0,3.5277,11.3208,6.9823,0.5235,5.9443,0.8501
2024/02/14 04:20:26.00,461332.7253,5634450.1887,2945940.0781,13.0,3.5277,11.3215,6.9825,0.5251,5.944,0.851
2024/02/14 04:20:27.00,461332.6996,5634450.3292,2945940.0268,13.0,3.5277,11.3221,6.9826,0.5267,5.9437,0.8519
2024/02/14 04:20:28.00,461332.7413,5634450.2505,2945939.9317,13.0,3.5277,11.3228,6.9827,0.5283,5.9434,0.8528
2024/02/14 04:20:29.00,461332.7337,5634450.4602,2945940.1366,13.0,3.5277,11.3235,6.9828,0.5298,5.9431,0.8537
2024/02/14 04:20:30.00,461332.6956,5634450.8067,2945940.3833,13.0,3.5276,11.3242,6.9829,0.5314,5.9428,0.8546
2024/02/14 04:20:31.00,461332.548,5634450.9555,2945940.6359,13.0,3.5276,11.3248,6.983,0.5329,5.9425,0.8555
2024/02/14 04:20:32.00,461332.5513,5634450.9083,2945940.4546,13.0,3.5276,11.3255,6.9832,0.5345,5.9422,0.8564
2024/02/14 04:20:33.00,461332.4752,5634450.9055,2945940.5149,13.0,3.5276,11.3262,6.9833,0.536,5.9419,0.8574
2024/02/14 04:20:34.00,461332.5037,5634450.7529,2945940.356,13.0,3.5276,11.3269,6.9834,0.5376,5.9416,0.8582
2024/02/14 04:20:35.00,461332.5217,5634450.5098,2945940.2366,13.0,3.5276,11.3275,6.9835,0.5391,5.9413,0.8591
