GPST,x_x,y_x,z_x,ns,sdx(m),sdy(m),sdz(m),sdxy(m),sdyz(m),sdzx(m)
2024/02/14 04:19:28.00,461331.6142,5634447.6796,2945937.2593,5.0,7.3944,26.3075,26.4926,3.3154,25.2288,-5.0914
2024/02/14 04:19:29.00,461331.5748,5634447.2439,2945936.8613,5.0,7.3939,26.3098,26.4915,3.3125,25.2298,-5.0906
2024/02/14 04:19:30.00,461331.5861,5634446.9936,2945936.5107,5.0,7.3934,26.312,26.4904,3.3095,25.2308,-5.0898
2024/02/14 04:19:31.00,461331.6168,5634446.9441,2945936.4024,5.0,7.3929,26.3143,26.4892,3.3066,25.2318,-5.089
2024/02/14 04:19:32.00,461331.6133,5634446.7552,2945936.2092,5.0,7.3924,26.3165,26.4881,3.3037,25.2328,-5.0882
2024/02/14 04:19:33.00,461331.7199,5634446.7894,2945936.098,5.0,7.3919,26.3187,26.4869,3.3008,25.2337,-5.0874
2024/02/14 04:19:34.00,461331.7469,5634446.5616,2945935.8376,5.0,7.3915,26.3209,26.4858,3.2978,25.2347,-5.0866
2024/02/14 04:19:35.00,461331.7525,5634446.0531,2945935.2299,5.0,7.391,26.3231,26.4846,3.2949,25.2356,-5.0859
2024/02/14 04:19:36.00,461331.7208,5634446.0756,2945935.1962,5.0,7.3905,26.3253,26.4834,3.292,25.2365,-5.0851
2024/02/14 04:19:37.00,461331.7303,5634445.4822,2945934.4744,5.0,7.39,26.3275,26.4821,3.2891,25.2374,-5.0843
2024/02/14 04:19:38.00,461331.7364,5634445.1706,2945934.1874,5.0,7.3895,26.3296,26.4809,3.2861,25.2383,-5.0835
2024/02/14 04:19:39.00,461331.7236,5634444.8732,2945933.8388,5.0,7.389,26.3317,26.4796,3.2832,25.2391,-5.0827
2024/02/14 04:19:40.00,461331.5964,5634444.6277,2945933.6027,5.0,7.3886,26.3339,26.4784,3.2803,25.24,-5.0819
2024/02/14 04:19:41.00,461331.5501,5634444.4921,2945933.4954,5.0,7.3881,26.336,26.4771,3.2773,25.2408,-5.0811
2024/02/14 04:19:42.00,461331.4252,5634444.8837,2945933.9399,5.0,7.3876,26.3381,26.4757,3.2744,25.2416,-5.0803
2024/02/14 04:19:43.00,461331.4282,5634445.3413,2945934.3699,5.0,7.3871,26.3401,26.4744,3.2715,25.2424,-5.0795
2024/02/14 04:19:44.00,461331.4402,5634445.5548,2945934.5562,5.0,7.3867,26.3422,26.4731,3.2685,25.2431,-5.0787
2024/02/14 04:19:45.00,461331.4239,5634445.4991,2945934.5048,5.0,7.3862,26.3443,26.4717,3.2656,25.2439,-5.0779
2024/02/14 04:19:46.00,461339.6738,5634478.5232,2945954.2532,6.0,6.205,21.0891,24.7541,-7.2535,22.1185,-7.9584
2024/02/14 04:19:47.00,461331.3127,5634445.5875,2945934.788,5.0,7.3852,26.3483,26.4689,3.2597,25.2454,-5.0764
2024/02/14 04:19:48.00,461331.2399,5634445.7984,2945935.0606,5.0,7.3847,26.3503,26.4675,3.2567,25.2461,-5.0756
2024/02/14 04:19:49.00,461331.1957,5634446.1182,2945935.3276,5.0,7.3843,26.3523,26.4661,3.2538,25.2468,-5.0748
2024/02/14 04:19:50.00,461331.2125,5634446.0223,2945935.3134,5.0,7.3838,26.3543,26.4646,3.2508,25.2474,-5.074
2024/02/14 04:19:51.00,461331.2447,5634445.693,2945935.0667,5.0,7.3833,26.3563,26.4632,3.2479,25.2481,-5.0732
2024/02/14 04:19:52.00,461331.2105,5634445.8061,2945935.079,5.0,7.3828,26.3582,26.4617,3.2449,25.2487,-5.0724
2024/02/14 04:19:53.00,461331.1844,5634445.9506,2945935.2198,5.0,7.3824,26.3602,26.4602,3.242,25.2494,-5.0716
2024/02/14 04:19:54.00,461331.1526,5634445.9508,2945935.2031,5.0,7.3819,26.3621,26.4587,3.239,25.25,-5.0708
2024/02/14 04:19:55.00,461331.1541,5634446.0346,2945935.2354,5.0,7.3814,26.364,26.4571,3.2361,25.2506,-5.07
2024/02/14 04:19:56.00,461336.4092,5634466.8977,2945947.7371,6.0,6.2116,21.0509,24.6997,-7.2689,22.0718,-7.9675
2024/02/14 04:19:57.00,461337.1162,5634469.9926,2945949.7191,6.0,6.2123,21.047,24.6942,-7.2704,22.0671,-7.9683
2024/02/14 04:19:58.00,461337.595,5634472.1671,2945951.0989,6.0,6.213,21.0431,24.6887,-7.2719,22.0623,-7.9692
2024/02/14 04:19:59.00,461337.1352,5634470.1396,2945949.8674,6.0,6.2136,21.0392,24.6831,-7.2734,22.0576,-7.9701
2024/02/14 04:20:00.00,461336.807,5634469.0798,2945949.2169,6.0,6.2143,21.0353,24.6775,-7.2749,22.0528,-7.9709
2024/02/14 04:20:01.00,461337.1184,5634470.2021,2945949.9963,6.0,6.2149,21.0314,24.672,-7.2764,22.048,-7.9718
2024/02/14 04:20:02.00,461336.1243,5634466.0389,2945947.4339,6.0,6.2156,21.0275,24.6664,-7.2778,22.0432,-7.9726
2024/02/14 04:20:03.00,461336.7928,5634468.9638,2945949.279,6.0,6.2162,21.0235,24.6607,-7.2793,22.0384,-7.9734
2024/02/14 04:20:04.00,461337.1123,5634470.3854,2945950.1331,6.0,6.2169,21.0196,24.6551,-7.2808,22.0335,-7.9743
2024/02/14 04:20:05.00,461336.6319,5634469.3684,2945949.6268,6.0,6.2176,21.0156,24.6495,-7.2822,22.0287,-7.9751
2024/02/14 04:20:06.00,461336.9088,5634471.0091,2945950.7473,6.0,6.2182,21.0116,24.6438,-7.2837,22.0238,-7.9759
2024/02/14 04:20:07.00,461336.1347,5634467.9526,2945948.8081,6.0,6.2189,21.0077,24.6381,-7.2851,22.0189,-7.9767
2024/02/14 04:20:08.00,461336.0863,5634467.8591,2945948.8915,6.0,6.2195,21.0037,24.6324,-7.2866,22.014,-7.9775
2024/02/14 04:20:09.00,461335.5787,5634465.5068,2945947.5322,6.0,6.2202,20.9997,24.6267,-7.288,22.0091,-7.9783
2024/02/14 04:20:10.00,461334.5119,5634461.0402,2945944.9013,6.0,6.2208,20.9957,24.621,-7.2895,22.0042,-7.9791
2024/02/14 04:20:11.00,461334.4877,5634460.2575,2945944.2662,6.0,6.2215,20.9916,24.6152,-7.2909,21.9993,-7.9798
2024/02/14 04:20:12.00,461333.5726,5634457.3081,2945942.799,6.0,6.2221,20.9876,24.6095,-7.2923,21.9944,-7.9806
2024/02/14 04:20:13.00,461332.8613,5634454.2965,2945940.9706,6.0,6.2228,20.9836,24.6037,-7.2937,21.9894,-7.9814
2024/02/14 04:20:14.00,461330.944,5634446.5141,2945936.2349,6.0,6.2234,20.9795,24.5979,-7.2951,21.9845,-7.9821
2024/02/14 04:20:15.00,461329.9456,5634442.5926,2945933.9564,6.0,6.2241,20.9755,24.5922,-7.2965,21.9795,-7.9829
2024/02/14 04:20:16.00,461329.7408,5634442.2207,2945933.7527,6.0,6.2247,20.9714,24.5863,-7.2979,21.9745,-7.9836
2024/02/14 04:20:17.00,461328.7771,5634438.0736,2945931.1858,6.0,6.2254,20.9673,24.5805,-7.2993,21.9695,-7.9844
2024/02/14 04:20:18.00,461328.2771,5634436.1556,2945930.0682,6.0,6.226,20.9632,24.5747,-7.3007,21.9645,-7.9851
2024/02/14 04:20:19.00,461327.3702,5634432.0493,2945927.4305,6.0,6.2267,20.9591,24.5688,-7.3021,21.9595,-7.9858
2024/02/14 04:20:20.00,461326.9537,5634430.6956,2945926.6082,6.0,6.2273,20.955,24.5629,-7.3035,21.9544,-7.9865
2024/02/14 04:20:21.00,461326.8239,5634429.6369,2945925.7079,6.0,6.228,20.9509,24.557,-7.3048,21.9494,-7.9872
2024/02/14 04:20:22.00,461325.9002,5634426.0589,2945923.4138,6.0,6.2286,20.9467,24.5511,-7.3062,21.9443,-7.9879
2024/02/14 04:20:23.00,461325.5404,5634425.0027,2945923.0061,6.0,6.2293,20.9426,24.5452,-7.3075,21.9392,-7.9886
2024/02/14 04:20:24.00,461325.2716,5634423.4809,2945921.9393,6.0,6.2299,20.9384,24.5393,-7.3089,21.9341,-7.9893
2024/02/14 04:20:25.00,461324.958,5634422.5902,2945921.5318,6.0,6.2306,20.9343,24.5333,-7.3102,21.929,-7.99
2024/02/14 04:20:26.00,461324.2828,5634420.4412,2945920.2354,6.0,6.2312,20.9301,24.5274,-7.3116,21.9239,-7.9907
2024/02/14 04:20:27.00,461324.2893,5634421.2843,2945920.9062,6.0,6.2319,20.9259,24.5214,-7.3129,21.9188,-7.9914
2024/02/14 04:20:28.00,461323.7629,5634419.6951,2945920.0634,6.0,6.2325,20.9217,24.5154,-7.3142,21.9136,-7.992
2024/02/14 04:20:29.00,461323.4861,5634418.8292,2945919.576,6.0,6.2332,20.9175,24.5094,-7.3156,21.9085,-7.9927
2024/02/14 04:20:30.00,461324.1605,5634421.6913,2945921.3116,6.0,6.2338,20.9133,24.5033,-7.3169,21.9033,-7.9933
