GPST,x_x,y_x,z_x,ns,sdx(m),sdy(m),sdz(m)
2024/02/14 04:19:28.00,461332.0479,5634451.1154,2945940.4523,18.0,1.9361,5.5009,4.0938
2024/02/14 04:19:29.00,461331.9802,5634451.1935,2945940.6499,18.0,1.9361,5.5012,4.0938
2024/02/14 04:19:30.00,461332.0386,5634451.1996,2945940.4734,18.0,1.9361,5.5015,4.0939
2024/02/14 04:19:31.00,461332.0235,5634450.9924,2945940.3737,18.0,1.9361,5.5018,4.0939
2024/02/14 04:19:32.00,461332.0878,5634450.8102,2945940.1888,18.0,1.9361,5.5021,4.0939
2024/02/14 04:19:33.00,461332.0501,5634450.8457,2945940.2821,18.0,1.9361,5.5024,4.0939
2024/02/14 04:19:34.00,461332.0657,5634450.8536,2945940.3062,18.0,1.9361,5.5027,4.0939
2024/02/14 04:19:35.00,461332.043,5634450.6992,2945940.0924,18.0,1.9361,5.503,4.0939
2024/02/14 04:19:36.00,461332.0478,5634450.4851,2945939.823,18.0,1.9361,5.5033,4.0939
2024/02/14 04:19:37.00,461331.9859,5634450.4114,2945939.8431,18.0,1.9361,5.5036,4.0939
2024/02/14 04:19:38.00,461332.0742,5634450.6846,2945940.0382,18.0,1.9361,5.5039,4.094
2024/02/14 04:19:39.00,461332.0609,5634450.8644,2945940.2776,18.0,1.9361,5.5042,4.094
2024/02/14 04:19:40.00,461332.118,5634450.5853,2945939.9687,18.0,1.9361,5.5045,4.094
2024/02/14 04:19:41.00,461332.0809,5634450.4015,2945939.8146,18.0,1.9361,5.5048,4.094
2024/02/14 04:19:42.00,461332.1041,5634450.4884,2945939.8638,18.0,1.9361,5.5051,4.094
2024/02/14 04:19:43.00,461332.0674,5634450.7961,2945940.1509,18.0,1.9361,5.5054,4.094
2024/02/14 04:19:44.00,461332.0847,5634450.8721,2945940.1637,18.0,1.9361,5.5057,4.094
2024/02/14 04:19:45.00,461332.0461,5634450.7686,2945940.1447,18.0,1.936,5.506,4.094
2024/02/14 04:19:46.00,461334.8986,5634462.8473,2945941.8279,19.0,1.8383,4.8038,4.07
2024/02/14 04:19:47.00,461332.0312,5634450.3933,2945939.7639,18.0,1.936,5.5066,4.094
2024/02/14 04:19:48.00,461332.0014,5634450.5954,2945939.9128,18.0,1.936,5.5069,4.0941
2024/02/14 04:19:49.00,461332.0324,5634450.7789,2945940.0147,18.0,1.936,5.5072,4.0941
2024/02/14 04:19:50.00,461332.0408,5634450.5905,2945939.9741,18.0,1.936,5.5075,4.0941
2024/02/14 04:19:51.00,461332.0679,5634450.3341,2945939.87,18.0,1.936,5.5078,4.0941
2024/02/14 04:19:52.00,461332.1293,5634450.0934,2945939.5822,18.0,1.936,5.5081,4.0941
2024/02/14 04:19:53.00,461332.0912,5634450.2091,2945939.7636,18.0,1.936,5.5084,4.0941
2024/02/14 04:19:54.00,461332.0776,5634450.2904,2945939.9209,18.0,1.936,5.5087,4.0941
2024/02/14 04:19:55.00,461332.0598,5634450.3043,2945939.9635,18.0,1.936,5.509,4.0941
2024/02/14 04:19:56.00,461333.7573,5634457.8207,2945941.1275,19.0,1.8383,4.8028,4.0695
2024/02/14 04:19:57.00,461334.0527,5634458.7959,2945941.1476,19.0,1.8383,4.8027,4.0694
2024/02/14 04:19:58.00,461334.2747,5634459.518,2945941.0624,19.0,1.8383,4.8026,4.0694
2024/02/14 04:19:59.00,461334.1102,5634458.7721,2945941.0215,19.0,1.8383,4.8025,4.0693
2024/02/14 04:20:00.00,461333.9721,5634458.541,2945941.1515,19.0,1.8384,4.8024,4.0693
2024/02/14 04:20:01.00,461334.1613,5634459.0185,2945941.3058,19.0,1.8384,4.8023,4.0692
2024/02/14 04:20:02.00,461333.8566,5634457.4475,2945941.0981,19.0,1.8384,4.8022,4.0692
2024/02/14 04:20:03.00,461334.1333,5634458.4447,2945941.152,19.0,1.8384,4.8021,4.0691
2024/02/14 04:20:04.00,461334.3173,5634458.9335,2945941.0834,19.0,1.8384,4.802,4.0691
2024/02/14 04:20:05.00,461334.1335,5634458.3427,2945940.9052,19.0,1.8384,4.8019,4.069
2024/02/14 04:20:06.00,461334.2757,5634459.1188,2945941.2614,19.0,1.8384,4.8018,4.069
2024/02/14 04:20:07.00,461334.0175,5634458.0576,2945941.1004,19.0,1.8384,4.8017,4.0689
2024/02/14 04:20:08.00,461333.9628,5634458.005,2945941.213,19.0,1.8384,4.8016,4.0689
2024/02/14 04:20:09.00,461333.7986,5634456.8322,2945940.8258,19.0,1.8384,4.8015,4.0688
2024/02/14 04:20:10.00,461333.3606,5634455.0137,2945940.5249,19.0,1.8384,4.8014,4.0688
2024/02/14 04:20:11.00,461333.3785,5634454.6659,2945940.3609,19.0,1.8384,4.8013,4.0687
2024/02/14 04:20:12.00,461333.0876,5634453.3983,2945940.2744,19.0,1.8384,4.8012,4.0687
2024/02/14 04:20:13.00,461332.8289,5634452.221,2945940.0982,19.0,1.8384,4.8011,4.0686
2024/02/14 04:20:14.00,461332.0707,5634449.2622,2945939.8589,19.0,1.8384,4.801,4.0685
2024/02/14 04:20:15.00,461331.7199,5634447.7297,2945939.6427,19.0,1.8384,4.8009,4.0685
2024/02/14 04:20:16.00,461331.6662,5634447.5356,2945939.5707,19.0,1.8384,4.8008,4.0684
2024/02/14 04:20:17.00,461331.303,5634445.7693,2945939.1349,19.0,1.8384,4.8007,4.0684
2024/02/14 04:20:18.00,461331.1642,5634444.9499,2945938.8644,19.0,1.8385,4.8006,4.0683
2024/02/14 04:20:19.00,461330.8424,5634443.3933,2945938.5014,19.0,1.8385,4.8005,4.0683
2024/02/14 04:20:20.00,461330.7055,5634442.8741,2945938.3794,19.0,1.8385,4.8004,4.0682
2024/02/14 04:20:21.00,461330.6522,5634442.6889,2945938.4253,19.0,1.8385,4.8003,4.0681
2024/02/14 04:20:22.00,461330.3016,5634441.4386,2945938.3773,19.0,1.8385,4.8002,4.0681
2024/02/14 04:20:23.00,461330.1484,5634441.0696,2945938.55,19.0,1.8385,4.8001,4.068
2024/02/14 04:20:24.00,461330.1108,5634440.51,2945938.367,19.0,1.8385,4.8,4.068
2024/02/14 04:20:25.00,461329.9743,5634439.9831,2945938.1321,19.0,1.8385,4.7999,4.0679
2024/02/14 04:20:26.00,461329.7105,5634438.9074,2945937.7122,19.0,1.8385,4.7998,4.0678
2024/02/14 04:20:27.00,461329.7167,5634439.178,2945937.72,19.0,1.8385,4.7997,4.0678
2024/02/14 04:20:28.00,461329.5726,5634438.3911,2945937.5133,19.0,1.8385,4.7996,4.0677
2024/02/14 04:20:29.00,461329.466,5634438.1827,2945937.6381,19.0,1.8385,4.7995,4.0676
2024/02/14 04:20:30.00,461329.6796,5634439.563,2945938.0624,19.0,1.8385,4.7994,4.0676
2024/02/14 04:20:31.00,461329.7641,5634440.6639,2945938.4534,19.0,1.8385,4.7993,4.0675
2024/02/14 04:20:32.00,461329.9493,5634441.3827,2945938.4274,19.0,1.8385,4.7991,4.0674
2024/02/14 04:20:33.00,461329.8323,5634441.2509,2945938.4313,19.0,1.8385,4.799,4.0674
2024/02/14 04:20:34.00,461330.0088,5634441.8499,2945938.4178,19.0,1.8385,4.7989,4.0673
2024/02/14 04:20:35.00,461330.3686,5634443.2883,2945938.5372,19.0,1.8385,4.7988,4.0673
2024/02/14 04:20:36.00,461330.3269,5634442.737,2945938.283,19.0,1.8386,4.7987,4.0672
2024/02/14 04:20:37.00,461330.6643,5634444.4624,2945938.5355,19.0,1.8386,4.7986,4.0671
2024/02/14 04:20:38.00,461330.8967,5634445.683,2945938.8645,19.0,1.8386,4.7985,4.0671
2024/02/14 04:20:39.00,461331.2601,5634447.5708,2945939.2364,19.0,1.8386,4.7984,4.067
2024/02/14 04:20:40.00,461331.7388,5634449.9593,2945939.8093,19.0,1.8386,4.7983,4.0669
2024/02/14 04:20:41.00,461332.0946,5634451.7807,2945940.2007,19.0,1.8386,4.7982,4.0668
2024/02/14 04:20:42.00,461332.1381,5634451.9209,2945940.2473,19.0,1.8386,4.7981,4.0668
2024/02/14 04:20:43.00,461332.2656,5634452.2923,2945940.2876,19.0,1.8386,4.798,4.0667
2024/02/14 04:20:44.00,461332.46,5634453.2784,2945940.368,19.0,1.8386,4.7978,4.0666
2024/02/14 04:20:45.00,461332.779,5634454.1378,2945940.4263,19.0,1.8386,4.7977,4.0666
2024/02/14 04:20:46.00,461332.8216,5634454.3107,2945940.3543,19.0,1.8386,4.7976,4.0665
2024/02/14 04:20:47.00,461333.1907,5634455.6127,2945940.3325,19.0,1.8386,4.7975,4.0664
2024/02/14 04:20:48.00,461333.3932,5634456.642,2945940.5626,19.0,1.8386,4.7974,4.0664
2024/02/14 04:20:49.00,461333.4373,5634456.8868,2945940.6331,19.0,1.8386,4.7973,4.0663
2024/02/14 04:20:50.00,461333.4214,5634456.9961,2945940.6319,19.0,1.8386,4.7972,4.0662
2024/02/14 04:20:51.00,461333.0085,5634455.3862,2945940.6351,19.0,1.8386,4.7971,4.0661
2024/02/14 04:20:52.00,461332.8233,5634454.8347,2945940.7878,19.0,1.8387,4.797,4.0661
2024/02/14 04:20:53.00,461332.8102,5634455.0018,2945940.8603,19.0,1.8387,4.7969,4.066
2024/02/14 04:20:54.00,461332.6645,5634454.7223,2945940.9321,19.0,1.8387,4.7967,4.0659
2024/02/14 04:20:55.00,461332.7641,5634455.3659,2945940.9005,19.0,1.8387,4.7966,4.0658
2024/02/14 04:20:56.00,461332.8115,5634455.5313,2945940.9275,19.0,1.8387,4.7965,4.0658
2024/02/14 04:20:57.00,461332.8331,5634455.3974,2945940.781,19.0,1.8387,4.7964,4.0657
2024/02/14 04:20:58.00,461333.0097,5634455.7042,2945940.7132,19.0,1.8387,4.7963,4.0656
2024/02/14 04:20:59.00,461333.0233,5634455.5152,2945940.6086,19.0,1.8387,4.7962,4.0655
2024/02/14 04:21:00.00,461333.0375,5634455.3882,2945940.4277,19.0,1.8387,4.7961,4.0655
2024/02/14 04:21:01.00,461333.0312,5634455.312,2945940.4478,19.0,1.8387,4.796,4.0654
2024/02/14 04:21:02.00,461333.0868,5634455.1699,2945940.3722,19.0,1.8387,4.7958,4.0653
2024/02/14 04:21:03.00,461332.978,5634455.0815,2945940.4924,19.0,1.8387,4.7957,4.0652
2024/02/14 04:21:04.00,461332.9887,5634455.188,2945940.6298,19.0,1.8387,4.7956,4.0651
2024/02/14 04:21:05.00,461332.9664,5634455.0079,2945940.6963,19.0,1.8387,4.7955,4.0651
2024/02/14 04:21:06.00,461332.984,5634455.1179,2945940.8323,19.0,1.8387,4.7954,4.065
2024/02/14 04:21:07.00,461332.95,5634455.1442,2945941.0536,19.0,1.8387,4.7953,4.0649
2024/02/14 04:21:08.00,461332.9622,5634455.1859,2945941.2034,19.0,1.8388,4.7952,4.0648
2024/02/14 04:21:09.00,461332.9675,5634455.1501,2945941.2823,19.0,1.8388,4.795,4.0647
2024/02/14 04:21:10.00,461332.9107,5634455.1629,2945941.4915,19.0,1.8388,4.7949,4.0647
2024/02/14 04:21:11.00,461332.928,5634455.0882,2945941.3748,19.0,1.8388,4.7948,4.0646
2024/02/14 04:21:12.00,461332.9846,5634454.9709,2945941.3211,19.0,1.8388,4.7947,4.0645
2024/02/14 04:21:13.00,461333.0295,5634454.7723,2945941.1447,19.0,1.8388,4.7946,4.0644
2024/02/14 04:21:14.00,461332.92,5634454.0362,2945941.0001,19.0,1.8388,4.7945,4.0643
2024/02/14 04:21:15.00,461332.3802,5634451.6704,2945940.6174,19.0,1.8388,4.7943,4.0643
2024/02/14 04:21:16.00,461332.2225,5634450.8686,2945940.3744,18.0,1.9356,5.5324,4.0932
2024/02/14 04:21:17.00,461332.1823,5634450.7055,2945940.1506,18.0,1.9356,5.5327,4.0931
2024/02/14 04:21:18.00,461332.2271,5634450.5695,2945940.0916,18.0,1.9356,5.533,4.0931
2024/02/14 04:21:19.00,461332.1538,5634450.3803,2945939.9251,18.0,1.9356,5.5333,4.0931
2024/02/14 04:21:20.00,461332.1771,5634450.4049,2945940.0302,18.0,1.9356,5.5336,4.093
2024/02/14 04:21:21.00,461332.1477,5634450.3758,2945939.9737,18.0,1.9356,5.5338,4.093
2024/02/14 04:21:22.00,461332.2262,5634450.1709,2945939.7809,18.0,1.9356,5.5341,4.093
2024/02/14 04:21:23.00,461332.2468,5634449.9509,2945939.6381,18.0,1.9356,5.5344,4.093
2024/02/14 04:21:24.00,461332.328,5634450.0049,2945939.5986,18.0,1.9356,5.5347,4.0929
2024/02/14 04:21:25.00,461332.3104,5634449.9652,2945939.515,18.0,1.9356,5.5349,4.0929
2024/02/14 04:21:26.00,461332.3444,5634449.8988,2945939.4369,18.0,1.9356,5.5352,4.0929
2024/02/14 04:21:27.00,461332.3586,5634450.0018,2945939.6114,18.0,1.9356,5.5355,4.0928
2024/02/14 04:21:28.00,461332.3659,5634450.0961,2945939.7079,18.0,1.9356,5.5358,4.0928
2024/02/14 04:21:29.00,461332.3477,5634449.9453,2945939.6803,18.0,1.9356,5.5361,4.0928
2024/02/14 04:21:30.00,461332.3712,5634449.9877,2945939.6307,18.0,1.9355,5.5363,4.0927
2024/02/14 04:21:31.00,461332.35,5634450.0068,2945939.7482,18.0,1.9355,5.5366,4.0927
2024/02/14 04:21:32.00,461332.3031,5634450.0393,2945939.787,18.0,1.9355,5.5369,4.0927
2024/02/14 04:21:33.00,461332.3314,5634450.1898,2945939.9223,18.0,1.9355,5.5372,4.0926
2024/02/14 04:21:34.00,461332.4293,5634450.4225,2945940.021,18.0,1.9355,5.5374,4.0926
2024/02/14 04:21:35.00,461332.3992,5634450.5669,2945940.1327,18.0,1.9355,5.5377,4.0926
2024/02/14 04:21:36.00,461332.3221,5634450.7411,2945940.2799,18.0,1.9355,5.538,4.0925
2024/02/14 04:21:37.00,461332.3449,5634450.8891,2945940.3657,18.0,1.9355,5.5383,4.0925
2024/02/14 04:21:38.00,461332.3771,5634451.1102,2945940.5055,18.0,1.9355,5.5385,4.0925
2024/02/14 04:21:39.00,461332.3772,5634451.0898,2945940.5007,18.0,1.9355,5.5388,4.0924
2024/02/14 04:21:40.00,461332.3811,5634451.1707,2945940.5902,18.0,1.9355,5.5391,4.0924
2024/02/14 04:21:41.00,461332.39,5634451.1464,2945940.4766,18.0,1.9355,5.5394,4.0923
2024/02/14 04:21:42.00,461332.3665,5634451.1938,2945940.547,18.0,1.9355,5.5396,4.0923
2024/02/14 04:21:43.00,461332.3789,5634451.0783,2945940.4137,18.0,1.9355,5.5399,4.0923
2024/02/14 04:21:44.00,461332.3329,5634451.053,2945940.3942,18.0,1.9355,5.5402,4.0922
2024/02/14 04:21:45.00,461332.4509,5634451.2807,2945940.2634,18.0,1.9355,5.5405,4.0922
2024/02/14 04:21:46.00,461332.5517,5634451.1106,2945940.0763,18.0,1.9355,5.5407,4.0921
2024/02/14 04:21:47.00,461332.5244,5634451.5238,2945940.3455,18.0,1.9355,5.541,4.0921
2024/02/14 04:21:48.00,461332.5669,5634450.8057,2945939.6387,18.0,1.9355,5.5413,4.0921
2024/02/14 04:21:49.00,461332.4391,5634450.6638,2945939.5884,18.0,1.9355,5.5416,4.092
2024/02/14 04:21:50.00,461333.8632,5634457.3179,2945940.8869,19.0,1.839,4.7901,4.0611
2024/02/14 04:21:51.00,461334.134,5634458.7143,2945941.3631,19.0,1.839,4.79,4.061
2024/02/14 04:21:52.00,461334.2083,5634458.9612,2945941.3649,19.0,1.8391,4.7899,4.0609
2024/02/14 04:21:53.00,461334.364,5634459.9869,2945941.7078,19.0,1.8391,4.7897,4.0608
2024/02/14 04:21:54.00,461334.8954,5634462.3038,2945942.1278,19.0,1.8391,4.7896,4.0607
2024/02/14 04:21:55.00,461335.1245,5634463.5114,2945942.4424,19.0,1.8391,4.7895,4.0606
2024/02/14 04:21:56.00,461335.3146,5634464.2196,2945942.5549,19.0,1.8391,4.7894,4.0605
2024/02/14 04:21:57.00,461335.4111,5634464.9609,2945942.7683,19.0,1.8391,4.7892,4.0604
2024/02/14 04:21:58.00,461335.635,5634465.7852,2945942.9009,19.0,1.8391,4.7891,4.0603
2024/02/14 04:21:59.00,461335.7584,5634466.2549,2945942.9681,19.0,1.8391,4.789,4.0601
2024/02/14 04:22:00.00,461335.7888,5634466.632,2945943.1053,19.0,1.8391,4.7889,4.06
2024/02/14 04:22:01.00,461335.7902,5634466.4145,2945942.9742,19.0,1.8391,4.7887,4.0599
2024/02/14 04:22:02.00,461335.7422,5634466.2487,2945943.0018,19.0,1.8391,4.7886,4.0598
2024/02/14 04:22:03.00,461335.9373,5634466.7525,2945942.9057,19.0,1.8391,4.7885,4.0597
2024/02/14 04:22:05.00,461335.9819,5634466.7846,2945942.8129,19.0,1.8391,4.7882,4.0595
2024/02/14 04:22:06.00,461335.9051,5634466.5032,2945942.6879,19.0,1.8392,4.7881,4.0594
2024/02/14 04:22:07.00,461335.8805,5634466.2699,2945942.5737,19.0,1.8392,4.788,4.0593
2024/02/14 04:22:08.00,461335.8135,5634465.9688,2945942.3681,19.0,1.8392,4.7878,4.0592
2024/02/14 04:22:09.00,461335.5807,5634464.6936,2945942.0703,19.0,1.8392,4.7877,4.0591
2024/02/14 04:22:10.00,461335.3948,5634463.7428,2945941.8973,19.0,1.8392,4.7876,4.059
2024/02/14 04:22:11.00,461335.2578,5634463.3208,2945941.9191,19.0,1.8392,4.7875,4.0589
2024/02/14 04:22:12.00,461335.2853,5634463.4267,2945941.9896,19.0,1.8392,4.7873,4.0588
2024/02/14 04:22:13.00,461335.0677,5634462.676,2945941.9472,19.0,1.8392,4.7872,4.0587
2024/02/14 04:22:14.00,461334.9466,5634461.8694,2945941.8451,19.0,1.8392,4.7871,4.0586
