GPST,x_x,y_x,z_x,ns,sdx(m),sdy(m),sdz(m),vx(m/s),vy(m/s),vz(m/s)
2024/02/14 04:19:28.00,461332.1561,5634451.4674,2945940.6784,13.0,2.1526,6.883,4.2543,0.00394,0.01413,-0.014
2024/02/14 04:19:29.00,461332.0907,5634451.5546,2945940.9186,13.0,2.1526,6.8835,4.2544,-0.01285,-0.07268,-0.01953
2024/02/14 04:19:30.00,461332.155,5634451.6329,2945940.7501,13.0,2.1526,6.8839,4.2544,0.01059,0.00316,-0.00138
2024/02/14 04:19:31.00,461332.1431,5634451.2907,2945940.6631,13.0,2.1526,6.8843,4.2545,0.00565,-0.02572,-0.02712
2024/02/14 04:19:32.00,461332.2257,5634451.0628,2945940.4874,13.0,2.1526,6.8847,4.2546,-0.00935,0.04126,0.02129
2024/02/14 04:19:33.00,461332.169,5634451.0143,2945940.5977,13.0,2.1526,6.8851,4.2547,-0.00325,-0.06164,-0.03899
2024/02/14 04:19:34.00,461332.1889,5634451.0182,2945940.6429,13.0,2.1526,6.8856,4.2548,-0.017,-0.06557,-0.03867
2024/02/14 04:19:35.00,461332.1637,5634450.8893,2945940.4548,13.0,2.1525,6.886,4.2549,0.00193,-0.01919,0.00371
2024/02/14 04:19:36.00,461332.1769,5634450.6205,2945940.1757,13.0,2.1525,6.8864,4.2549,0.00285,0.03986,0.00524
2024/02/14 04:19:37.00,461332.1208,5634450.4632,2945940.2571,13.0,2.1525,6.8868,4.255,0.00033,0.00532,-0.00464
2024/02/14 04:19:38.00,461332.2235,5634450.8426,2945940.4816,13.0,2.1525,6.8872,4.2551,-0.0013,-0.02452,-0.00309
2024/02/14 04:19:39.00,461332.2227,5634450.9821,2945940.7701,13.0,2.1525,6.8877,4.2552,-0.02665,-0.07688,-0.03349
2024/02/14 04:19:40.00,461332.3254,5634450.613,2945940.4752,13.0,2.1525,6.8881,4.2553,0.00997,0.01649,-0.00825
2024/02/14 04:19:41.00,461332.2903,5634450.4146,2945940.3198,13.0,2.1525,6.8885,4.2553,0.01684,-0.01828,-0.01684
2024/02/14 04:19:42.00,461332.3433,5634450.4479,2945940.3527,13.0,2.1525,6.8889,4.2554,-0.00353,-0.04312,-0.02199
2024/02/14 04:19:43.00,461332.2963,5634450.7568,2945940.6269,13.0,2.1525,6.8893,4.2555,0.01045,0.00705,0.02705
2024/02/14 04:19:44.00,461332.3114,5634450.8447,2945940.6256,13.0,2.1524,6.8898,4.2556,-0.00453,-0.02633,-0.00898
2024/02/14 04:19:45.00,461332.2744,5634450.6792,2945940.6147,13.0,2.1524,6.8902,4.2557,-0.00075,-0.05947,-0.00377
2024/02/14 04:19:46.00,461332.3352,5634450.1705,2945940.2148,13.0,2.1524,6.8906,4.2557,0.0052,0.01862,0.01571
2024/02/14 04:19:47.00,461332.263,5634450.3585,2945940.183,13.0,2.1524,6.891,4.2558,0.00945,0.04057,-0.01738
2024/02/14 04:19:48.00,461332.2333,5634450.6318,2945940.3171,13.0,2.1524,6.8914,4.2559,0.01212,-0.00437,0.01556
2024/02/14 04:19:49.00,461332.2815,5634450.7758,2945940.4149,13.0,2.1524,6.8918,4.256,0.0193,0.08177,0.0259
2024/02/14 04:19:50.00,461332.2935,5634450.5231,2945940.379,13.0,2.1524,6.8923,4.256,0.01667,0.0515,-0.00134
2024/02/14 04:19:51.00,461332.3266,5634450.2174,2945940.2909,13.0,2.1524,6.8927,4.2561,0.02103,0.03628,0.00865
2024/02/14 04:19:52.00,461332.4169,5634449.8246,2945940.0022,13.0,2.1524,6.8931,4.2562,0.00207,0.00903,-0.01524
2024/02/14 04:19:53.00,461332.3825,5634449.8841,2945940.1924,13.0,2.1524,6.8935,4.2563,-0.00694,0.04254,0.0221
2024/02/14 04:19:54.00,461332.3838,5634449.8825,2945940.3731,13.0,2.1523,6.8939,4.2564,0.00769,-0.05179,-0.05005
2024/02/14 04:19:55.00,461332.369,5634449.8308,2945940.4227,13.0,2.1523,6.8943,4.2564,-0.02838,-0.02615,-0.05418
2024/02/14 04:19:56.00,461332.3245,5634449.6561,2945940.296,13.0,2.1523,6.8948,4.2565,0.00435,-0.00492,-0.02946
2024/02/14 04:19:57.00,461332.3588,5634449.3482,2945940.0931,13.0,2.1523,6.8952,4.2566,-0.02164,0.00533,-0.005
