GPST,x_x,y_x,z_x,ns,sdx(m),sdy(m),sdz(m),vx(m/s),vy(m/s),vz(m/s)
2024/02/14 04:19:28.00,461332.1582,5634451.4771,2945940.6828,13.0,3.5287,11.2818,6.9751,0.00394,0.01413,-0.014
2024/02/14 04:19:29.00,461332.0927,5634451.5642,2945940.9229,13.0,3.5287,11.2825,6.9752,-0.01285,-0.07268,-0.01953
2024/02/14 04:19:30.00,461332.157,5634451.6425,2945940.7543,13.0,3.5287,11.2832,6.9753,0.01059,0.00316,-0.00138
2024/02/14 04:19:31.00,461332.1452,5634451.3007,2945940.6677,13.0,3.5287,11.2839,6.9755,0.00565,-0.02572,-0.02712
2024/02/14 04:19:32.00,461332.2278,5634451.0727,2945940.4919,13.0,3.5287,11.2846,6.9756,-0.00935,0.04126,0.02129
2024/02/14 04:19:33.00,461332.1711,5634451.0242,2945940.6021,13.0,3.5286,11.2853,6.9758,-0.00325,-0.06164,-0.03899
2024/02/14 04:19:34.00,461332.1911,5634451.0281,2945940.6474,13.0,3.5286,11.286,6.9759,-0.017,-0.06557,-0.03867
2024/02/14 04:19:35.00,461332.1659,5634450.8997,2945940.4595,13.0,3.5286,11.2867,6.976,0.00193,-0.01919,0.00371
2024/02/14 04:19:36.00,461332.1791,5634450.6306,2945940.1804,13.0,3.5286,11.2874,6.9762,0.00285,0.03986,0.00524
2024/02/14 04:19:37.00,461332.1229,5634450.4731,2945940.2617,13.0,3.5286,11.288,6.9763,0.00033,0.00532,-0.00464
2024/02/14 04:19:38.00,461332.2255,5634450.8523,2945940.4861,13.0,3.5285,11.2887,6.9764,-0.0013,-0.02452,-0.00309
2024/02/14 04:19:39.00,461332.2248,5634450.9918,2945940.7745,13.0,3.5285,11.2894,6.9766,-0.02665,-0.07688,-0.03349
2024/02/14 04:19:40.00,461332.3275,5634450.6231,2945940.4798,13.0,3.5285,11.2901,6.9767,0.00997,0.01649,-0.00825
2024/02/14 04:19:41.00,461332.2925,5634450.425,2945940.3247,13.0,3.5285,11.2908,6.9768,0.01684,-0.01828,-0.01684
2024/02/14 04:19:42.00,461332.3455,5634450.458,2945940.3575,13.0,3.5285,11.2915,6.9769,-0.00353,-0.04312,-0.02199
2024/02/14 04:19:43.00,461332.2985,5634450.7668,2945940.6314,13.0,3.5285,11.2922,6.9771,0.01045,0.00705,0.02705
2024/02/14 04:19:44.00,461332.3135,5634450.8543,2945940.6299,13.0,3.5284,11.2928,6.9772,-0.00453,-0.02633,-0.00898
2024/02/14 04:19:45.00,461332.2765,5634450.689,2945940.6192,13.0,3.5284,11.2935,6.9773,-0.00075,-0.05947,-0.00377
2024/02/14 04:19:46.00,461332.3373,5634450.1801,2945940.2193,13.0,3.5284,11.2942,6.9775,0.0052,0.01862,0.01571
2024/02/14 04:19:47.00,461332.2652,5634450.3683,2945940.1877,13.0,3.5284,11.2949,6.9776,0.00945,0.04057,-0.01738
2024/02/14 04:19:48.00,461332.2354,5634450.6415,2945940.3216,13.0,3.5284,11.2956,6.9777,0.01212,-0.00437,0.01556
2024/02/14 04:19:49.00,461332.2836,5634450.7853,2945940.4192,13.0,3.5283,11.2963,6.9779,0.0193,0.08177,0.0259
2024/02/14 04:19:50.00,461332.2956,5634450.5325,2945940.3834,13.0,3.5283,11.297,6.978,0.01667,0.0515,-0.00134
2024/02/14 04:19:51.00,461332.3287,5634450.2271,2945940.2954,13.0,3.5283,11.2976,6.9781,0.02103,0.03628,0.00865
2024/02/14 04:19:52.00,461332.4191,5634449.8345,2945940.007,13.0,3.5283,11.2983,6.9782,0.00207,0.00903,-0.01524
2024/02/14 04:19:53.00,461332.3847,5634449.8941,2945940.1972,13.0,3.5283,11.299,6.9784,-0.00694,0.04254,0.0221
2024/02/14 04:19:54.00,461332.386,5634449.8923,2945940.3777,13.0,3.5283,11.2997,6.9785,0.00769,-0.05179,-0.05005
2024/02/14 04:19:55.00,461332.3711,5634449.8405,2945940.4272,13.0,3.5282,11.3004,6.9786,-0.02838,-0.02615,-0.05418
2024/02/14 04:19:56.00,461332.3266,5634449.6655,2945940.3004,13.0,3.5282,11.3011,6.9788,0.00435,-0.00492,-0.02947
2024/02/14 04:19:57.00,461332.3608,5634449.3576,2945940.0976,13.0,3.5282,11.3017,6.9789,-0.02164,0.00533,-0.005
2024/02/14 04:19:58.00,461332.4075,5634449.3694,2945939.848,13.0,3.5282,11.3024,6.979,0.00242,-0.02901,-0.0293
2024/02/14 04:19:59.00,461332.4183,5634449.3971,2945939.9497,13.0,3.5282,11.3031,6.9791,0.00726,0.03055,-0.00795
2024/02/14 04:20:00.00,461332.3932,5634449.6496,2945940.173,13.0,3.5282,11.3038,6.9793,-0.00757,-0.02488,-0.01955
2024/02/14 04:20:01.00,461332.5012,5634449.7712,2945940.2561,13.0,3.5281,11.3045,6.9794,0.00117,0.01652,-0.00116
2024/02/14 04:20:02.00,461332.588,5634449.8712,2945940.3457,13.0,3.5281,11.3052,6.9795,0.00399,-0.0004,0.00396
2024/02/14 04:20:03.00,461332.6187,5634449.7023,2945940.1926,13.0,3.5281,11.3058,6.9796,-0.00982,-0.0677,-0.03604
2024/02/14 04:20:04.00,461332.7026,5634449.7147,2945940.0254,13.0,3.5281,11.3065,6.9798,-0.00366,-0.08674,-0.04376
2024/02/14 04:20:05.00,461332.654,5634449.5228,2945939.9181,13.0,3.5281,11.3072,6.9799,0.00645,-0.04402,-0.00865
2024/02/14 04:20:06.00,461332.7007,5634449.7274,2945940.1948,13.0,3.528,11.3079,6.98,-0.00958,-0.01887,-0.01995
2024/02/14 04:20:07.00,461332.7363,5634449.9982,2945940.2558,13.0,3.528,11.3086,6.9801,0.01337,-0.04322,-0.02444
2024/02/14 04:20:08.00,461332.6829,5634449.976,2945940.3669,13.0,3.528,11.3092,6.9803,0.00493,-0.00066,-0.00179
2024/02/14 04:20:09.00,461332.7059,5634449.71,2945940.1058,13.0,3.528,11.3099,6.9804,0.02018,-0.0058,0.01948
2024/02/14 04:20:10.00,461332.6397,5634449.6952,2945940.0847,13.0,3.528,11.3106,6.9805,-0.00337,0.01523,-0.00461
2024/02/14 04:20:11.00,461332.6977,5634449.505,2945939.9687,13.0,3.528,11.3113,6.9806,0.0088,-0.02687,-0.00575
2024/02/14 04:20:12.00,461332.7246,5634449.5761,2945940.0869,13.0,3.5279,11.312,6.9808,-0.01028,-0.04353,-0.04102
