GPST,x_y,y_y,z_y
2024/02/14 04:19:28.00,461329.7966,5634437.027,2945930.291
2024/02/14 04:19:29.00,461329.7978,5634437.0321,2945930.2945
2024/02/14 04:19:30.00,461329.797,5634437.0308,2945930.2965
2024/02/14 04:19:31.00,461329.7973,5634437.0319,2945930.2956
2024/02/14 04:19:32.00,461329.7976,5634437.0228,2945930.2871
2024/02/14 04:19:33.00,461329.7977,5634437.0255,2945930.2896
2024/02/14 04:19:34.00,461329.797,5634437.0274,2945930.29
2024/02/14 04:19:35.00,461329.7962,5634437.0262,2945930.2906
2024/02/14 04:19:36.00,461329.797,5634437.02,2945930.2858
2024/02/14 04:19:37.00,461329.7973,5634437.0268,2945930.289
2024/02/14 04:19:38.00,461329.7977,5634437.0203,2945930.2843
2024/02/14 04:19:39.00,461329.7982,5634437.0221,2945930.2852
2024/02/14 04:19:40.00,461329.7983,5634437.0226,2945930.2883
2024/02/14 04:19:41.00,461329.7968,5634437.0222,2945930.2896
2024/02/14 04:19:42.00,461329.7968,5634437.0223,2945930.2893
2024/02/14 04:19:43.00,461329.7982,5634437.0226,2945930.2869
2024/02/14 04:19:44.00,461329.7982,5634437.0229,2945930.2894
2024/02/14 04:19:45.00,461329.7991,5634437.0168,2945930.2837
2024/02/14 04:19:46.00,461329.797,5634437.0382,2945930.2986
2024/02/14 04:19:47.00,461329.7983,5634437.0185,2945930.2838
2024/02/14 04:19:48.00,461329.7984,5634437.0202,2945930.2857
2024/02/14 04:19:49.00,461329.7981,5634437.0236,2945930.2881
2024/02/14 04:19:50.00,461329.7973,5634437.0337,2945930.2969
2024/02/14 04:19:51.00,461329.7976,5634437.0236,2945930.2883
2024/02/14 04:19:52.00,461329.7962,5634437.0237,2945930.2895
2024/02/14 04:19:53.00,461329.7988,5634437.0227,2945930.2888
2024/02/14 04:19:54.00,461329.7978,5634437.026,2945930.29
2024/02/14 04:19:55.00,461329.7983,5634437.022,2945930.2912
2024/02/14 04:19:56.00,461329.7983,5634437.0259,2945930.29
2024/02/14 04:19:57.00,461329.7974,5634437.0241,2945930.2882
2024/02/14 04:19:58.00,461329.7979,5634437.0292,2945930.2939
2024/02/14 04:19:59.00,461329.7985,5634437.0231,2945930.2888
2024/02/14 04:20:00.00,461329.7994,5634437.0289,2945930.2951
2024/02/14 04:20:01.00,461329.7993,5634437.0311,2945930.2967
2024/02/14 04:20:02.00,461329.799,5634437.0365,2945930.3007
2024/02/14 04:20:03.00,461329.7988,5634437.0291,2945930.2948
2024/02/14 04:20:04.00,461329.7992,5634437.0301,2945930.2969
2024/02/14 04:20:05.00,461331.4283,5634442.661,2945934.5837
2024/02/14 04:20:06.00,461329.7984,5634437.0271,2945930.2903
2024/02/14 04:20:07.00,461329.8007,5634437.0295,2945930.2938
2024/02/14 04:20:08.00,461329.6245,5634447.2143,2945938.2397
2024/02/14 04:20:09.00,461329.6227,5634447.22,2945938.246
2024/02/14 04:20:10.00,461329.7981,5634437.0279,2945930.2951
2024/02/14 04:20:11.00,461329.7993,5634437.028,2945930.295
2024/02/14 04:20:12.00,461329.8001,5634437.0194,2945930.2859
2024/02/14 04:20:13.00,461329.7983,5634437.0225,2945930.29
2024/02/14 04:20:14.00,461329.7983,5634437.0241,2945930.294
2024/02/14 04:20:15.00,461329.7978,5634437.0183,2945930.2905
2024/02/14 04:20:16.00,461329.799,5634437.018,2945930.2879
2024/02/14 04:20:17.00,461329.7987,5634437.0158,2945930.2886
2024/02/14 04:20:18.00,461329.7977,5634437.0229,2945930.294
2024/02/14 04:20:19.00,461329.7973,5634437.0213,2945930.2927
2024/02/14 04:20:20.00,461329.7985,5634437.0171,2945930.2883
2024/02/14 04:20:21.00,461329.797,5634437.0192,2945930.2908
2024/02/14 04:20:22.00,461329.7978,5634437.0163,2945930.2897
2024/02/14 04:20:23.00,461329.7979,5634437.0201,2945930.2928
2024/02/14 04:20:24.00,461329.7963,5634437.0224,2945930.2947
2024/02/14 04:20:25.00,461329.8,5634437.0207,2945930.2917
2024/02/14 04:20:26.00,461329.7983,5634437.0156,2945930.2872
2024/02/14 04:20:27.00,461329.7972,5634437.0219,2945930.2929
2024/02/14 04:20:28.00,461329.7945,5634437.0172,2945930.2912
2024/02/14 04:20:29.00,461329.7968,5634437.018,2945930.2917
2024/02/14 04:20:30.00,461329.7961,5634437.0146,2945930.2869
2024/02/14 04:20:31.00,461329.797,5634437.0232,2945930.2937
2024/02/14 04:20:32.00,461329.7967,5634437.0205,2945930.2929
2024/02/14 04:20:33.00,461329.7974,5634437.0239,2945930.2956
2024/02/14 04:20:34.00,461329.7967,5634437.0256,2945930.2949
2024/02/14 04:20:35.00,461329.7966,5634437.0279,2945930.2963
2024/02/14 04:20:36.00,461329.7957,5634437.0315,2945930.3031
2024/02/14 04:20:37.00,461329.7966,5634437.0227,2945930.2923
2024/02/14 04:20:38.00,461329.7957,5634437.0247,2945930.2959
2024/02/14 04:20:39.00,461329.7966,5634437.0297,2945930.2985
2024/02/14 04:20:40.00,461329.7961,5634437.0268,2945930.2981
2024/02/14 04:20:41.00,461329.7959,5634437.0306,2945930.2988
2024/02/14 04:20:42.00,461329.7955,5634437.0318,2945930.3002
2024/02/14 04:20:43.00,461329.7957,5634437.0344,2945930.3034
2024/02/14 04:20:44.00,461328.0939,5634438.1978,2945934.0615
2024/02/14 04:20:45.00,461329.9696,5634446.0377,2945939.076
2024/02/14 04:20:46.00,461329.9694,5634446.0418,2945939.0781
2024/02/14 04:20:47.00,461329.971,5634446.0395,2945939.0739
2024/02/14 04:20:48.00,461329.9709,5634446.0394,2945939.0708
2024/02/14 04:20:49.00,461329.9701,5634446.0402,2945939.0715
2024/02/14 04:20:50.00,461329.9695,5634446.0389,2945939.0696
2024/02/14 04:20:51.00,461329.796,5634437.0322,2945930.3002
2024/02/14 04:20:52.00,461329.7959,5634437.034,2945930.3015
2024/02/14 04:20:53.00,461329.3127,5634445.2868,2945937.9382
2024/02/14 04:20:54.00,461329.311,5634445.29,2945937.938
2024/02/14 04:20:55.00,461329.3142,5634445.2884,2945937.9357
2024/02/14 04:20:56.00,461329.3131,5634445.2849,2945937.93
2024/02/14 04:20:57.00,461329.3108,5634445.2892,2945937.9355
2024/02/14 04:20:58.00,461329.3117,5634445.2905,2945937.9354
2024/02/14 04:20:59.00,461329.3112,5634445.2847,2945937.9315
2024/02/14 04:21:00.00,461328.4691,5634444.3495,2945936.4941
2024/02/14 04:21:01.00,461331.4925,5634435.8693,2945926.55
2024/02/14 04:21:02.00,461331.4923,5634435.8696,2945926.5517
2024/02/14 04:21:03.00,461331.4918,5634435.87,2945926.5514
2024/02/14 04:21:04.00,461331.4921,5634435.8669,2945926.5498
2024/02/14 04:21:05.00,461329.7939,5634437.0356,2945930.3049
2024/02/14 04:21:06.00,461329.7944,5634437.0365,2945930.3058
2024/02/14 04:21:07.00,461329.7952,5634437.0314,2945930.2997
2024/02/14 04:21:08.00,461329.794,5634437.0327,2945930.3025
2024/02/14 04:21:09.00,461329.7971,5634437.0307,2945930.2991
2024/02/14 04:21:10.00,461329.7935,5634437.0359,2945930.3043
2024/02/14 04:21:11.00,461329.7947,5634437.0325,2945930.3032
2024/02/14 04:21:12.00,461329.7945,5634437.0308,2945930.3002
2024/02/14 04:21:13.00,461329.7958,5634437.0299,2945930.2985
2024/02/14 04:21:14.00,461329.7951,5634437.0336,2945930.3044
2024/02/14 04:21:15.00,461329.7955,5634437.029,2945930.3011
2024/02/14 04:21:16.00,461329.7957,5634437.0334,2945930.3022
2024/02/14 04:21:17.00,461329.7956,5634437.0274,2945930.2981
2024/02/14 04:21:18.00,461329.7963,5634437.0292,2945930.3
2024/02/14 04:21:19.00,461329.7949,5634437.0232,2945930.2965
2024/02/14 04:21:20.00,461329.7953,5634437.0242,2945930.295
2024/02/14 04:21:21.00,461329.7984,5634437.0264,2945930.296
2024/02/14 04:21:22.00,461329.7958,5634437.0235,2945930.2949
2024/02/14 04:21:23.00,461329.7968,5634437.0313,2945930.3026
2024/02/14 04:21:24.00,461329.7964,5634437.0255,2945930.293
2024/02/14 04:21:25.00,461329.7966,5634437.0282,2945930.2983
2024/02/14 04:21:26.00,461329.7976,5634437.0261,2945930.2966
2024/02/14 04:21:27.00,461329.7958,5634437.0338,2945930.3021
2024/02/14 04:21:28.00,461329.7967,5634437.0338,2945930.302
2024/02/14 04:21:29.00,461329.7981,5634437.0292,2945930.2932
2024/02/14 04:21:30.00,461329.7961,5634437.0312,2945930.2976
2024/02/14 04:21:31.00,461329.7957,5634437.0298,2945930.2976
2024/02/14 04:21:32.00,461329.7957,5634437.0314,2945930.2976
2024/02/14 04:21:33.00,461329.7946,5634437.0367,2945930.3008
2024/02/14 04:21:34.00,461329.7957,5634437.0371,2945930.3007
2024/02/14 04:21:35.00,461329.7921,5634437.0302,2945930.2959
2024/02/14 04:21:36.00,461329.7947,5634437.0363,2945930.2976
2024/02/14 04:21:37.00,461329.7943,5634437.0392,2945930.3037
2024/02/14 04:21:38.00,461329.7948,5634437.0351,2945930.297
2024/02/14 04:21:39.00,461329.7946,5634437.03,2945930.2927
2024/02/14 04:21:40.00,461329.7935,5634437.0277,2945930.2926
2024/02/14 04:21:41.00,461329.7926,5634437.03,2945930.2935
2024/02/14 04:21:42.00,461329.7934,5634437.0318,2945930.2952
2024/02/14 04:21:43.00,461329.7928,5634437.0336,2945930.2996
2024/02/14 04:21:44.00,461329.7935,5634437.0302,2945930.2944
2024/02/14 04:21:45.00,461329.7935,5634437.0298,2945930.2937
2024/02/14 04:21:46.00,461329.3661,5634436.4222,2945932.1393
2024/02/14 04:21:47.00,461329.7918,5634437.0317,2945930.2974
2024/02/14 04:21:48.00,461329.3232,5634439.3387,2945931.7209
2024/02/14 04:21:49.00,461329.7929,5634437.0288,2945930.2936
2024/02/14 04:21:50.00,461329.7929,5634437.0371,2945930.3003
2024/02/14 04:21:51.00,461329.7938,5634437.0421,2945930.3052
2024/02/14 04:21:52.00,461329.7928,5634437.0336,2945930.2948
2024/02/14 04:21:53.00,461329.7933,5634437.0365,2945930.2966
2024/02/14 04:21:54.00,461329.7925,5634437.0451,2945930.3074
2024/02/14 04:21:55.00,461329.7945,5634437.0415,2945930.3026
2024/02/14 04:21:56.00,461329.794,5634437.0431,2945930.3046
2024/02/14 04:21:57.00,461329.7927,5634437.0523,2945930.314
2024/02/14 04:22:09.00,461329.7956,5634437.0489,2945930.3074
2024/02/14 04:22:10.00,461329.7968,5634437.0485,2945930.3092
2024/02/14 04:22:11.00,461329.7965,5634437.0436,2945930.3027
2024/02/14 04:22:12.00,461329.7967,5634437.0451,2945930.3092
2024/02/14 04:22:13.00,461329.7974,5634437.0426,2945930.3056
2024/02/14 04:22:14.00,461329.7961,5634437.0441,2945930.3064
2024/02/14 04:22:15.00,461329.7981,5634437.0426,2945930.3024
2024/02/14 04:22:16.00,461329.7981,5634437.0376,2945930.2997
2024/02/14 04:22:17.00,461329.7965,5634437.0426,2945930.3044
2024/02/14 04:22:18.00,461329.7966,5634437.044,2945930.3073
2024/02/14 04:22:19.00,461332.6519,5634442.8556,2945930.3469
2024/02/14 04:22:20.00,461332.6514,5634442.8564,2945930.3485
2024/02/14 04:22:21.00,461332.6518,5634442.8613,2945930.3502
2024/02/14 04:22:22.00,461329.7972,5634437.0471,2945930.3085
2024/02/14 04:22:23.00,461332.6499,5634442.8509,2945930.3424
2024/02/14 04:22:24.00,461329.7977,5634437.0422,2945930.3023
2024/02/14 04:22:25.00,461329.7975,5634437.0462,2945930.3063
2024/02/14 04:22:26.00,461332.6463,5634442.8496,2945930.3433
2024/02/14 04:22:27.00,461329.6284,5634446.8415,2945937.7658
2024/02/14 04:22:28.00,461329.6263,5634446.8485,2945937.7715
2024/02/14 04:22:29.00,461329.6276,5634446.8441,2945937.767
2024/02/14 04:22:30.00,461329.7963,5634437.0461,2945930.3087
2024/02/14 04:22:31.00,461329.7971,5634437.042,2945930.3054
2024/02/14 04:22:32.00,461329.7964,5634437.0413,2945930.3031
2024/02/14 04:22:33.00,461329.7969,5634437.0401,2945930.3014
2024/02/14 04:22:34.00,461329.7979,5634437.0394,2945930.3033
2024/02/14 04:22:35.00,461329.7981,5634437.0438,2945930.3065
2024/02/14 04:22:36.00,461329.7977,5634437.0358,2945930.2943
2024/02/14 04:22:37.00,461329.7964,5634437.043,2945930.3072
2024/02/14 04:22:38.00,461329.7963,5634437.033,2945930.2981
2024/02/14 04:22:39.00,461329.7963,5634437.0405,2945930.3028
