GPST,x_y,y_y,z_y
2024/02/14 04:19:28.00,461329.7312,5634437.3436,2945930.4972
2024/02/14 04:19:29.00,461329.7306,5634437.3439,2945930.4982
2024/02/14 04:19:30.00,461329.7314,5634437.3448,2945930.4986
2024/02/14 04:19:31.00,461329.732,5634437.3434,2945930.4957
2024/02/14 04:19:32.00,461329.7305,5634437.3434,2945930.4974
2024/02/14 04:19:33.00,461329.7305,5634437.3418,2945930.4962
2024/02/14 04:19:34.00,461329.7303,5634437.3447,2945930.4969
2024/02/14 04:19:35.00,461329.7305,5634437.3455,2945930.4972
2024/02/14 04:19:36.00,461329.7312,5634437.344,2945930.4972
2024/02/14 04:19:37.00,461329.7303,5634437.3456,2945930.4975
2024/02/14 04:19:38.00,461329.7305,5634437.345,2945930.4965
2024/02/14 04:19:39.00,461329.7303,5634437.3453,2945930.4977
2024/02/14 04:19:40.00,461329.7309,5634437.3432,2945930.4963
2024/02/14 04:19:41.00,461329.7309,5634437.3429,2945930.4961
2024/02/14 04:19:42.00,461329.7302,5634437.3435,2945930.4975
2024/02/14 04:19:43.00,461329.7306,5634437.3458,2945930.4986
2024/02/14 04:19:44.00,461329.7304,5634437.3436,2945930.4974
2024/02/14 04:19:45.00,461329.7311,5634437.3434,2945930.4983
2024/02/14 04:19:46.00,461329.7325,5634437.354,2945930.5025
2024/02/14 04:19:47.00,461329.7309,5634437.3456,2945930.4975
2024/02/14 04:19:48.00,461329.7314,5634437.3448,2945930.4977
2024/02/14 04:19:49.00,461329.7307,5634437.3461,2945930.4978
2024/02/14 04:19:50.00,461329.7787,5634437.1625,2945930.4904
2024/02/14 04:19:51.00,461329.7309,5634437.3456,2945930.4977
2024/02/14 04:19:52.00,461329.7301,5634437.3465,2945930.4978
2024/02/14 04:19:53.00,461329.7303,5634437.3469,2945930.4998
2024/02/14 04:19:54.00,461329.7779,5634437.1598,2945930.488
2024/02/14 04:19:55.00,461329.7769,5634437.1585,2945930.4892
2024/02/14 04:19:56.00,461329.7308,5634437.3468,2945930.4985
2024/02/14 04:19:57.00,461329.7294,5634437.3467,2945930.4991
2024/02/14 04:19:58.00,461329.7782,5634437.1628,2945930.4913
2024/02/14 04:19:59.00,461329.7309,5634437.3467,2945930.499
2024/02/14 04:20:00.00,461329.7305,5634437.3455,2945930.4989
2024/02/14 04:20:01.00,461329.7308,5634437.3469,2945930.5001
2024/02/14 04:20:02.00,461329.7473,5634437.2464,2945930.4942
2024/02/14 04:20:03.00,461329.7468,5634437.2434,2945930.4912
2024/02/14 04:20:04.00,461329.7475,5634437.2453,2945930.4933
2024/02/14 04:20:05.00,461329.7302,5634437.3442,2945930.4995
2024/02/14 04:20:06.00,461329.7466,5634437.2442,2945930.491
2024/02/14 04:20:07.00,461329.7473,5634437.2417,2945930.491
2024/02/14 04:20:08.00,461329.7288,5634437.3426,2945930.4984
2024/02/14 04:20:09.00,461329.7293,5634437.3425,2945930.4996
2024/02/14 04:20:10.00,461329.7459,5634437.2394,2945930.4905
2024/02/14 04:20:11.00,461329.7469,5634437.2386,2945930.4897
2024/02/14 04:20:12.00,461329.7469,5634437.2379,2945930.4896
2024/02/14 04:20:13.00,461329.7465,5634437.2366,2945930.4877
2024/02/14 04:20:14.00,461329.7461,5634437.2398,2945930.4915
2024/02/14 04:20:15.00,461329.746,5634437.234,2945930.4887
2024/02/14 04:20:16.00,461329.7464,5634437.2365,2945930.4905
2024/02/14 04:20:17.00,461329.7465,5634437.2331,2945930.4884
2024/02/14 04:20:18.00,461329.7463,5634437.2339,2945930.4886
2024/02/14 04:20:19.00,461329.7463,5634437.2348,2945930.4884
2024/02/14 04:20:20.00,461329.7461,5634437.2346,2945930.4883
2024/02/14 04:20:21.00,461329.7455,5634437.2331,2945930.4878
2024/02/14 04:20:22.00,461329.7464,5634437.2331,2945930.4879
2024/02/14 04:20:23.00,461329.7465,5634437.233,2945930.4882
2024/02/14 04:20:24.00,461329.7461,5634437.2312,2945930.487
2024/02/14 04:20:25.00,461329.746,5634437.2308,2945930.4868
2024/02/14 04:20:26.00,461329.7451,5634437.2307,2945930.4859
2024/02/14 04:20:27.00,461329.7454,5634437.2316,2945930.4871
2024/02/14 04:20:28.00,461329.7447,5634437.2288,2945930.4853
2024/02/14 04:20:29.00,461329.7455,5634437.2295,2945930.4862
2024/02/14 04:20:30.00,461329.7452,5634437.2312,2945930.4861
2024/02/14 04:20:31.00,461329.7452,5634437.2315,2945930.4869
2024/02/14 04:20:32.00,461329.7465,5634437.2307,2945930.4869
2024/02/14 04:20:33.00,461329.7462,5634437.2324,2945930.4872
2024/02/14 04:20:34.00,461329.7465,5634437.232,2945930.4862
2024/02/14 04:20:35.00,461329.7464,5634437.2339,2945930.487
2024/02/14 04:20:36.00,461329.7466,5634437.2294,2945930.4871
2024/02/14 04:20:37.00,461329.7454,5634437.2306,2945930.4853
2024/02/14 04:20:38.00,461329.7461,5634437.2315,2945930.4882
2024/02/14 04:20:39.00,461329.7461,5634437.2344,2945930.4891
2024/02/14 04:20:40.00,461329.7468,5634437.2314,2945930.489
2024/02/14 04:20:41.00,461329.7467,5634437.2347,2945930.4898
2024/02/14 04:20:42.00,461329.747,5634437.2346,2945930.4896
2024/02/14 04:20:43.00,461329.7462,5634437.2303,2945930.4869
2024/02/14 04:20:44.00,461329.7512,5634437.2559,2945930.4944
2024/02/14 04:20:45.00,461329.751,5634437.2559,2945930.4936
2024/02/14 04:20:46.00,461329.751,5634437.2585,2945930.495
2024/02/14 04:20:47.00,461329.7528,5634437.2597,2945930.4954
2024/02/14 04:20:48.00,461329.7512,5634437.2601,2945930.495
2024/02/14 04:20:49.00,461329.7523,5634437.2608,2945930.4954
2024/02/14 04:20:50.00,461329.7526,5634437.2603,2945930.4958
2024/02/14 04:20:51.00,461329.7475,5634437.229,2945930.4894
2024/02/14 04:20:52.00,461329.7465,5634437.2312,2945930.4895
2024/02/14 04:20:53.00,461329.7924,5634436.9915,2945930.2831
2024/02/14 04:20:54.00,461329.7729,5634437.1261,2945930.4783
2024/02/14 04:20:55.00,461329.7734,5634437.1273,2945930.4819
2024/02/14 04:20:56.00,461329.7737,5634437.1272,2945930.4804
2024/02/14 04:20:57.00,461329.7738,5634437.124,2945930.4805
2024/02/14 04:20:58.00,461329.7736,5634437.1265,2945930.4816
2024/02/14 04:20:59.00,461329.7733,5634437.1234,2945930.4811
2024/02/14 04:21:00.00,461329.7739,5634437.1219,2945930.4803
2024/02/14 04:21:01.00,461329.7733,5634437.1209,2945930.4813
2024/02/14 04:21:02.00,461329.774,5634437.1233,2945930.4825
2024/02/14 04:21:03.00,461329.7741,5634437.124,2945930.4816
2024/02/14 04:21:04.00,461329.7736,5634437.1233,2945930.4822
2024/02/14 04:21:05.00,461329.7766,5634437.1369,2945930.4856
2024/02/14 04:21:06.00,461329.7771,5634437.1387,2945930.4856
2024/02/14 04:21:07.00,461329.7769,5634437.1372,2945930.4845
2024/02/14 04:21:08.00,461329.7981,5634437.0134,2945930.2901
2024/02/14 04:21:09.00,461329.7771,5634437.1376,2945930.486
2024/02/14 04:21:10.00,461329.7762,5634437.1381,2945930.4862
2024/02/14 04:21:11.00,461329.7774,5634437.1351,2945930.4854
2024/02/14 04:21:12.00,461329.7781,5634437.1373,2945930.4859
2024/02/14 04:21:13.00,461329.7773,5634437.1369,2945930.4857
2024/02/14 04:21:14.00,461329.7775,5634437.136,2945930.4851
2024/02/14 04:21:15.00,461329.7775,5634437.1371,2945930.4852
2024/02/14 04:21:16.00,461329.7776,5634437.1379,2945930.4852
2024/02/14 04:21:17.00,461329.777,5634437.1335,2945930.4839
2024/02/14 04:21:18.00,461329.7778,5634437.1377,2945930.4859
2024/02/14 04:21:19.00,461329.7781,5634437.1345,2945930.484
2024/02/14 04:21:20.00,461329.7762,5634437.1323,2945930.4825
2024/02/14 04:21:21.00,461329.7789,5634437.1361,2945930.4844
2024/02/14 04:21:22.00,461329.7776,5634437.135,2945930.4845
2024/02/14 04:21:23.00,461329.7775,5634437.1329,2945930.4845
2024/02/14 04:21:24.00,461329.7778,5634437.1357,2945930.4827
2024/02/14 04:21:25.00,461329.7782,5634437.1366,2945930.4844
2024/02/14 04:21:26.00,461329.7776,5634437.1345,2945930.4842
2024/02/14 04:21:27.00,461329.7778,5634437.1386,2945930.485
2024/02/14 04:21:28.00,461329.7779,5634437.1381,2945930.4852
2024/02/14 04:21:29.00,461329.7771,5634437.1369,2945930.4821
2024/02/14 04:21:30.00,461329.7774,5634437.1396,2945930.4859
2024/02/14 04:21:31.00,461329.7776,5634437.1379,2945930.4848
2024/02/14 04:21:32.00,461329.7776,5634437.1382,2945930.483
2024/02/14 04:21:33.00,461329.7474,5634437.2244,2945930.486
