GPST,x_y,y_y,z_y
2024/02/14 04:19:28.00,461330.0542,5634415.2969,2945924.5868
2024/02/14 04:19:29.00,461330.0486,5634415.2713,2945924.5783
2024/02/14 04:19:30.00,461330.0482,5634415.3228,2945924.5896
2024/02/14 04:19:31.00,461330.0604,5634415.2947,2945924.5886
2024/02/14 04:19:32.00,461330.0489,5634415.282,2945924.5836
2024/02/14 04:19:33.00,461330.0607,5634415.2693,2945924.5981
2024/02/14 04:19:34.00,461330.0522,5634415.2796,2945924.5901
2024/02/14 04:19:35.00,461330.0575,5634415.2872,2945924.5948
2024/02/14 04:19:36.00,461330.0513,5634415.2906,2945924.5937
2024/02/14 04:19:37.00,461330.0448,5634415.2966,2945924.5837
2024/02/14 04:19:38.00,461330.0477,5634415.2908,2945924.593
2024/02/14 04:19:39.00,461330.0518,5634415.2648,2945924.5871
2024/02/14 04:19:40.00,461330.0538,5634415.2655,2945924.5797
2024/02/14 04:19:41.00,461330.056,5634415.2513,2945924.5893
2024/02/14 04:19:42.00,461330.0539,5634415.2524,2945924.5947
2024/02/14 04:19:43.00,461330.0522,5634415.2561,2945924.5962
2024/02/14 04:19:44.00,461330.0497,5634415.2774,2945924.5972
2024/02/14 04:19:45.00,461330.0575,5634415.2684,2945924.6058
2024/02/14 04:19:46.00,461330.0566,5634415.3048,2945924.6058
2024/02/14 04:19:47.00,461330.0569,5634415.2662,2945924.5935
2024/02/14 04:19:48.00,461330.0538,5634415.2582,2945924.5954
2024/02/14 04:19:49.00,461330.0502,5634415.284,2945924.6004
2024/02/14 04:19:50.00,461330.0583,5634415.2581,2945924.6061
2024/02/14 04:19:51.00,461330.0575,5634415.2495,2945924.6047
2024/02/14 04:19:52.00,461330.0507,5634415.2613,2945924.598
2024/02/14 04:19:53.00,461330.043,5634415.2555,2945924.5915
2024/02/14 04:19:54.00,461330.0553,5634415.238,2945924.5956
2024/02/14 04:19:55.00,461330.0513,5634415.2384,2945924.5932
2024/02/14 04:19:56.00,461330.0569,5634415.2392,2945924.5966
2024/02/14 04:19:57.00,461330.044,5634415.2712,2945924.6043
2024/02/14 04:19:58.00,461332.1267,5634450.3194,2945938.4242
2024/02/14 04:19:59.00,461332.1271,5634450.3101,2945938.4192
2024/02/14 04:20:00.00,461330.05,5634415.2358,2945924.5963
2024/02/14 04:20:01.00,461332.1262,5634450.321,2945938.4228
2024/02/14 04:20:02.00,461332.1142,5634450.3244,2945938.4184
2024/02/14 04:20:03.00,461332.115,5634450.2934,2945938.4046
2024/02/14 04:20:04.00,461332.117,5634450.2989,2945938.4107
2024/02/14 04:20:05.00,461332.1171,5634450.3166,2945938.4153
2024/02/14 04:20:06.00,461332.1158,5634450.3226,2945938.4102
2024/02/14 04:20:07.00,461332.1126,5634450.3085,2945938.409
2024/02/14 04:20:08.00,461332.1171,5634450.2914,2945938.4033
2024/02/14 04:20:09.00,461332.1195,5634450.2844,2945938.4075
2024/02/14 04:20:10.00,461332.1102,5634450.2834,2945938.4006
2024/02/14 04:20:11.00,461332.1167,5634450.2908,2945938.4032
2024/02/14 04:20:12.00,461332.1207,5634450.2972,2945938.4126
2024/02/14 04:20:13.00,461332.1201,5634450.299,2945938.403
2024/02/14 04:20:14.00,461332.1173,5634450.2981,2945938.4131
2024/02/14 04:20:15.00,461332.1193,5634450.2773,2945938.3992
2024/02/14 04:20:16.00,461330.0538,5634415.2256,2945924.6216
2024/02/14 04:20:17.00,461332.1195,5634450.2926,2945938.4152
2024/02/14 04:20:18.00,461332.116,5634450.2585,2945938.3887
2024/02/14 04:20:19.00,461332.1123,5634450.29,2945938.3943
2024/02/14 04:20:20.00,461332.1109,5634450.2902,2945938.3915
2024/02/14 04:20:21.00,461332.1141,5634450.2907,2945938.4043
2024/02/14 04:20:22.00,461332.1211,5634450.2749,2945938.3961
2024/02/14 04:20:23.00,461332.1128,5634450.2639,2945938.3874
2024/02/14 04:20:24.00,461332.1204,5634450.2892,2945938.4062
2024/02/14 04:20:25.00,461332.1129,5634450.2618,2945938.3921
2024/02/14 04:20:26.00,461332.1175,5634450.2976,2945938.4097
2024/02/14 04:20:27.00,461332.1145,5634450.2684,2945938.3939
2024/02/14 04:20:28.00,461332.1077,5634450.2871,2945938.3823
2024/02/14 04:20:29.00,461332.1088,5634450.2749,2945938.3792
2024/02/14 04:20:30.00,461332.1115,5634450.2771,2945938.3908
2024/02/14 04:20:31.00,461332.1181,5634450.2816,2945938.405
2024/02/14 04:20:32.00,461332.1135,5634450.269,2945938.3917
2024/02/14 04:20:33.00,461330.7266,5634446.8397,2945940.5996
2024/02/14 04:20:34.00,461330.7319,5634446.8357,2945940.6018
2024/02/14 04:20:35.00,461330.7355,5634446.832,2945940.6133
2024/02/14 04:20:36.00,461332.1149,5634450.2279,2945938.3789
2024/02/14 04:20:37.00,461332.1064,5634450.2553,2945938.3749
2024/02/14 04:20:38.00,461332.1134,5634450.2605,2945938.3886
2024/02/14 04:20:39.00,461330.7309,5634446.8239,2945940.6045
2024/02/14 04:20:40.00,461330.7342,5634446.8159,2945940.6056
2024/02/14 04:20:41.00,461330.7249,5634446.8124,2945940.5947
2024/02/14 04:20:42.00,461330.7262,5634446.832,2945940.6083
2024/02/14 04:20:43.00,461330.7191,5634446.7892,2945940.5867
2024/02/14 04:20:44.00,461330.7256,5634446.8238,2945940.5948
2024/02/14 04:20:45.00,461330.7238,5634446.8155,2945940.5923
