GPST,x_y,y_y,z_y
2024/02/14 04:19:28.00,461329.7861,5634437.1059,2945930.5084
2024/02/14 04:19:29.00,461329.7854,5634437.1045,2945930.5096
2024/02/14 04:19:30.00,461329.7862,5634437.1089,2945930.5096
2024/02/14 04:19:31.00,461329.7872,5634437.1038,2945930.5067
2024/02/14 04:19:32.00,461329.7857,5634437.1058,2945930.5093
2024/02/14 04:19:33.00,461329.7855,5634437.1026,2945930.5077
2024/02/14 04:19:34.00,461329.7854,5634437.105,2945930.5088
2024/02/14 04:19:35.00,461329.7861,5634437.1087,2945930.5094
2024/02/14 04:19:36.00,461329.7864,5634437.1069,2945930.5096
2024/02/14 04:19:37.00,461329.7853,5634437.1069,2945930.5098
2024/02/14 04:19:38.00,461329.7856,5634437.1071,2945930.5087
2024/02/14 04:19:39.00,461329.7852,5634437.1085,2945930.51
2024/02/14 04:19:40.00,461329.7861,5634437.1061,2945930.5081
2024/02/14 04:19:41.00,461329.7866,5634437.1063,2945930.5084
2024/02/14 04:19:42.00,461329.7855,5634437.1047,2945930.5094
2024/02/14 04:19:43.00,461329.7859,5634437.106,2945930.5108
2024/02/14 04:19:44.00,461329.7854,5634437.1041,2945930.5089
2024/02/14 04:19:45.00,461329.7864,5634437.105,2945930.5106
2024/02/14 04:19:46.00,461329.7878,5634437.1114,2945930.5121
2024/02/14 04:19:47.00,461329.7867,5634437.108,2945930.5098
2024/02/14 04:19:48.00,461329.7873,5634437.1079,2945930.5102
2024/02/14 04:19:49.00,461329.7863,5634437.1089,2945930.5097
2024/02/14 04:19:50.00,461329.7865,5634437.1085,2945930.5107
2024/02/14 04:19:51.00,461329.787,5634437.1067,2945930.5099
2024/02/14 04:19:52.00,461329.7861,5634437.1096,2945930.5098
2024/02/14 04:19:53.00,461329.7853,5634437.1103,2945930.5115
2024/02/14 04:19:54.00,461329.7857,5634437.1068,2945930.5085
2024/02/14 04:19:55.00,461329.7843,5634437.1079,2945930.5093
2024/02/14 04:19:56.00,461329.7862,5634437.1068,2945930.509
2024/02/14 04:19:57.00,461329.7843,5634437.1073,2945930.5094
2024/02/14 04:19:58.00,461329.7858,5634437.1075,2945930.5097
2024/02/14 04:19:59.00,461329.7861,5634437.1073,2945930.5093
2024/02/14 04:20:00.00,461329.7852,5634437.1041,2945930.5083
2024/02/14 04:20:01.00,461329.7855,5634437.1073,2945930.5097
2024/02/14 04:20:02.00,461329.7849,5634437.1061,2945930.5103
2024/02/14 04:20:03.00,461329.7844,5634437.1013,2945930.5073
2024/02/14 04:20:04.00,461329.7849,5634437.1039,2945930.5089
2024/02/14 04:20:05.00,461329.786,5634437.1042,2945930.5096
2024/02/14 04:20:06.00,461329.7845,5634437.1048,2945930.5076
2024/02/14 04:20:07.00,461329.7849,5634437.1022,2945930.5075
2024/02/14 04:20:08.00,461329.7847,5634437.1046,2945930.5089
2024/02/14 04:20:09.00,461329.7854,5634437.1042,2945930.5099
2024/02/14 04:20:10.00,461329.7841,5634437.1031,2945930.5077
2024/02/14 04:20:11.00,461329.7851,5634437.1016,2945930.5068
2024/02/14 04:20:12.00,461329.7855,5634437.1008,2945930.5077
2024/02/14 04:20:13.00,461329.7851,5634437.1018,2945930.5057
2024/02/14 04:20:14.00,461329.785,5634437.1047,2945930.5101
2024/02/14 04:20:15.00,461329.7848,5634437.1007,2945930.5077
2024/02/14 04:20:16.00,461329.7851,5634437.1025,2945930.5098
2024/02/14 04:20:17.00,461329.7851,5634437.1002,2945930.5073
2024/02/14 04:20:18.00,461329.7852,5634437.1017,2945930.5077
2024/02/14 04:20:19.00,461329.785,5634437.1044,2945930.5076
2024/02/14 04:20:20.00,461329.7844,5634437.1039,2945930.508
2024/02/14 04:20:21.00,461329.7842,5634437.1015,2945930.5077
2024/02/14 04:20:22.00,461329.785,5634437.1042,2945930.5074
2024/02/14 04:20:23.00,461329.7852,5634437.1035,2945930.508
2024/02/14 04:20:24.00,461329.7848,5634437.1009,2945930.507
2024/02/14 04:20:25.00,461329.784,5634437.0994,2945930.5065
2024/02/14 04:20:26.00,461329.7835,5634437.1006,2945930.5062
2024/02/14 04:20:27.00,461329.784,5634437.103,2945930.5073
2024/02/14 04:20:28.00,461329.7838,5634437.1014,2945930.5059
2024/02/14 04:20:29.00,461329.7844,5634437.1012,2945930.5068
2024/02/14 04:20:30.00,461329.784,5634437.1028,2945930.5071
2024/02/14 04:20:31.00,461329.7841,5634437.1022,2945930.5068
2024/02/14 04:20:32.00,461329.7851,5634437.1032,2945930.507
2024/02/14 04:20:33.00,461329.7842,5634437.1041,2945930.5065
2024/02/14 04:20:34.00,461329.785,5634437.1031,2945930.5058
2024/02/14 04:20:35.00,461329.7849,5634437.1037,2945930.5066
2024/02/14 04:20:36.00,461329.785,5634437.0992,2945930.5061
2024/02/14 04:20:37.00,461329.7833,5634437.0992,2945930.5045
2024/02/14 04:20:38.00,461329.7842,5634437.1024,2945930.5072
2024/02/14 04:20:39.00,461329.7836,5634437.1042,2945930.5072
2024/02/14 04:20:40.00,461329.7848,5634437.1002,2945930.5071
2024/02/14 04:20:41.00,461329.7844,5634437.1027,2945930.5075
2024/02/14 04:20:42.00,461329.7331,5634437.2893,2945930.4927
